Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
D.J. Moore,CAR,WR,24,17,17,163.0,93.0,0.0,0.0,0.0,48.0,0.0,8.0,1157.0,4.0,145.0,0.0,1.0,1.0
Chris Godwin,TAM,WR,25,14,14,127.0,98.0,0.0,0.0,0.0,21.0,1.0,4.0,1103.0,5.0,144.0,0.0,2.0,2.0
Hunter Henry,NWE,TE,27,17,10,75.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,603.0,9.0,114.0,0.0,0.0,0.0
Melvin Gordon,DEN,RB,28,16,16,38.0,28.0,0.0,0.0,0.0,918.0,8.0,203.0,213.0,2.0,167.0,0.0,3.0,3.0
Jaylen Waddle,MIA,WR,23,16,16,140.0,104.0,0.0,0.0,0.0,3.0,1.0,2.0,1015.0,6.0,142.0,0.0,2.0,1.0
Brandin Cooks,HOU,WR,28,16,16,134.0,90.0,0.0,0.0,0.0,21.0,0.0,2.0,1037.0,6.0,142.0,0.0,0.0,0.0
Dallas Goedert,PHI,TE,26,15,14,76.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,4.0,109.0,0.0,1.0,0.0
Darnell Mooney,CHI,WR,24,17,14,140.0,81.0,0.0,0.0,0.0,32.0,1.0,6.0,1055.0,4.0,139.0,0.0,0.0,0.0
Kyle Pitts*,ATL,TE,21,17,15,110.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.0,1.0,109.0,0.0,0.0,0.0
Javonte Williams,DEN,RB,21,17,1,53.0,43.0,0.0,0.0,0.0,903.0,4.0,203.0,316.0,3.0,162.0,0.0,2.0,1.0
Amon-Ra St. Brown,DET,WR,22,17,9,119.0,90.0,0.0,0.0,0.0,61.0,1.0,7.0,912.0,5.0,137.0,0.0,0.0,0.0
Zach Ertz,2TM,TE,31,17,14,112.0,74.0,0.0,0.0,0.0,4.0,0.0,1.0,763.0,5.0,107.0,0.0,0.0,0.0
Terry McLaurin,WAS,WR,26,17,17,130.0,77.0,0.0,0.0,0.0,12.0,0.0,1.0,1053.0,5.0,137.0,0.0,0.0,0.0
Marquise Brown,BAL,WR,24,16,16,146.0,91.0,0.0,0.0,0.0,5.0,0.0,1.0,1008.0,6.0,135.0,0.0,3.0,1.0
Amari Cooper,DAL,WR,27,15,14,104.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,865.0,8.0,135.0,0.0,1.0,0.0
Devin Singletary,BUF,RB,24,17,16,50.0,40.0,0.0,0.0,0.0,870.0,7.0,188.0,228.0,1.0,158.0,0.0,5.0,0.0
Adam Thielen,MIN,WR,31,13,13,95.0,67.0,0.0,0.0,0.0,2.0,0.0,1.0,726.0,10.0,133.0,0.0,1.0,0.0
Christian Kirk,ARI,WR,25,17,11,103.0,77.0,33.0,0.0,1.0,11.0,0.0,1.0,982.0,5.0,131.0,0.0,0.0,0.0
