Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att.1,Yds.1,Rec,Yds.2,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
Jerry Rice,SFO,WR,25.0,12.0,12.0,0.0,0.0,0.0,0.0,8.0,51.0,65.0,1078.0,16.58,2.0,0.0,0.0,0.0,0.0,51.0,1.0,8.0,1078.0,22.0,311.90000000000003
Charles White,RAM,RB,29.0,15.0,12.0,0.0,0.0,0.0,0.0,324.0,1374.0,23.0,121.0,5.26,8.0,0.0,0.0,0.0,0.0,1374.0,11.0,324.0,121.0,0.0,222.5
Randall Cunningham,PHI,QB,24.0,12.0,12.0,223.0,406.0,2786.0,12.0,76.0,505.0,1.0,-3.0,-3.0,12.0,0.0,2786.0,23.0,406.0,505.0,3.0,76.0,-3.0,0.0,224.64
Herschel Walker,DAL,RB,25.0,12.0,11.0,0.0,0.0,0.0,0.0,209.0,891.0,60.0,715.0,11.92,4.0,0.0,0.0,0.0,0.0,891.0,7.0,209.0,715.0,1.0,260.6
Joe Montana,SFO,QB,31.0,13.0,11.0,266.0,398.0,3054.0,13.0,35.0,141.0,0.0,0.0,0.0,3.0,0.0,3054.0,31.0,398.0,141.0,1.0,35.0,0.0,0.0,234.26
Mark Bavaro,NYG,TE,24.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,867.0,15.76,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,867.0,8.0,185.7
John Elway,DEN,QB,27.0,12.0,12.0,224.0,410.0,3198.0,12.0,66.0,304.0,0.0,0.0,0.0,2.0,0.0,3198.0,19.0,410.0,304.0,4.0,66.0,0.0,0.0,230.32
J.T. Smith,STL,WR,32.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,1117.0,12.27,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1117.0,8.0,246.7
Neil Lomax,STL,QB,28.0,12.0,12.0,275.0,463.0,3387.0,12.0,29.0,107.0,0.0,0.0,0.0,7.0,0.0,3387.0,24.0,463.0,107.0,0.0,29.0,0.0,0.0,204.18
Eric Dickerson,2TM,RB,27.0,12.0,10.0,0.0,0.0,0.0,0.0,283.0,1288.0,18.0,171.0,9.5,7.0,0.0,0.0,0.0,0.0,1288.0,6.0,283.0,171.0,0.0,185.9
Dan Marino,MIA,QB,26.0,12.0,12.0,263.0,444.0,3245.0,13.0,12.0,-5.0,0.0,0.0,0.0,5.0,0.0,3245.0,26.0,444.0,-5.0,1.0,12.0,0.0,0.0,203.3
Gary Clark,WAS,WR,25.0,12.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,56.0,1066.0,19.04,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1066.0,7.0,198.6
Curt Warner,SEA,RB,26.0,12.0,12.0,0.0,0.0,0.0,0.0,234.0,985.0,17.0,167.0,9.82,4.0,0.0,0.0,0.0,0.0,985.0,8.0,234.0,167.0,2.0,184.2
Carlos Carson,KAN,WR,29.0,12.0,12.0,0.0,0.0,0.0,0.0,1.0,-7.0,55.0,1044.0,18.98,1.0,0.0,0.0,0.0,0.0,-7.0,0.0,1.0,1044.0,7.0,198.7
Mike Quick,PHI,WR,28.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,790.0,17.17,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,790.0,11.0,185.0
Steve Largent,SEA,WR,33.0,13.0,13.0,0.0,2.0,0.0,0.0,2.0,33.0,58.0,912.0,15.72,2.0,0.0,0.0,0.0,2.0,33.0,0.0,2.0,912.0,8.0,196.5
Bernie Kosar,CLE,QB,24.0,12.0,12.0,241.0,389.0,3033.0,9.0,15.0,22.0,0.0,0.0,0.0,2.0,0.0,3033.0,22.0,389.0,22.0,1.0,15.0,0.0,0.0,195.52
Albert Bentley,IND,RB,27.0,12.0,4.0,0.0,0.0,0.0,0.0,142.0,631.0,34.0,447.0,13.15,3.0,0.0,0.0,0.0,0.0,631.0,7.0,142.0,447.0,2.0,189.8
Drew Hill,HOU,WR,31.0,12.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,49.0,989.0,20.18,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,989.0,6.0,181.9
Anthony Carter,MIN,WR,27.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,922.0,24.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,922.0,7.0,172.2
Earnest Byner,CLE,RB,25.0,12.0,12.0,0.0,0.0,0.0,0.0,105.0,432.0,52.0,552.0,10.62,5.0,0.0,0.0,0.0,0.0,432.0,8.0,105.0,552.0,2.0,200.4
Robert Awalt,STL,TE,23.0,12.0,9.0,0.0,0.0,0.0,0.0,2.0,-9.0,42.0,526.0,12.52,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,2.0,526.0,6.0,129.7
Warren Moon,HOU,QB,31.0,12.0,12.0,184.0,368.0,2806.0,18.0,34.0,112.0,0.0,0.0,0.0,8.0,0.0,2806.0,21.0,368.0,112.0,3.0,34.0,0.0,0.0,173.44
Ernest Givins,HOU,WR,23.0,12.0,12.0,0.0,0.0,0.0,0.0,1.0,-13.0,53.0,933.0,17.6,2.0,0.0,0.0,0.0,0.0,-13.0,0.0,1.0,933.0,6.0,177.0
Roger Craig,SFO,RB,27.0,14.0,14.0,0.0,0.0,0.0,0.0,215.0,815.0,66.0,492.0,7.45,5.0,0.0,0.0,0.0,0.0,815.0,3.0,215.0,492.0,1.0,210.7
Al Toon,NYJ,WR,24.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,976.0,14.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976.0,5.0,195.6
