Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att.1,Yds.1,Rec,Yds.2,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
Lynn Swann,PIT,WR,30.0,9.0,8.0,0.0,0.0,0.0,0.0,1.0,25.0,18.0,265.0,14.72,0.0,0.0,0.0,0.0,0.0,25.0,0.0,1.0,265.0,0.0,47.0
M.L. Harris,CIN,TE,28.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,-3.0,10.0,103.0,10.3,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,2.0,103.0,3.0,38.0
Bert Jones,RAM,QB,31.0,4.0,4.0,48.0,87.0,527.0,4.0,11.0,73.0,0.0,0.0,0.0,0.0,0.0,527.0,2.0,87.0,73.0,0.0,11.0,0.0,0.0,28.38
Junior Miller,ATL,TE,25.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,221.0,11.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,1.0,46.1
Mark Nichols,DET,WR,23.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,153.0,19.13,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,153.0,2.0,35.599999999999994
Bo Robinson,ATL,RB,26.0,9.0,0.0,0.0,0.0,0.0,0.0,19.0,108.0,7.0,55.0,7.86,0.0,0.0,0.0,0.0,0.0,108.0,0.0,19.0,55.0,2.0,35.3
Tim Sherwin,BAL,TE,24.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,280.0,13.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0,49.0
Byron Walker,SEA,WR,22.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,156.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,2.0,37.6
Dexter Bussey,DET,RB,30.0,9.0,6.0,0.0,0.0,0.0,0.0,48.0,136.0,16.0,138.0,8.63,2.0,0.0,0.0,0.0,0.0,136.0,0.0,48.0,138.0,0.0,39.4
Derrick Gaffney,NYJ,WR,27.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,207.0,18.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,1.0,37.7
Archie Griffin,CIN,RB,28.0,9.0,0.0,0.0,0.0,0.0,0.0,12.0,39.0,22.0,172.0,7.82,0.0,0.0,0.0,0.0,0.0,39.0,1.0,12.0,172.0,0.0,49.1
James Hadnot,KAN,RB,25.0,9.0,2.0,0.0,0.0,0.0,0.0,46.0,172.0,14.0,96.0,6.86,1.0,0.0,0.0,0.0,0.0,172.0,0.0,46.0,96.0,0.0,38.8
Frank Hawkins,RAI,RB,23.0,9.0,0.0,0.0,0.0,0.0,0.0,27.0,54.0,7.0,35.0,5.0,1.0,0.0,0.0,0.0,0.0,54.0,2.0,27.0,35.0,1.0,31.9
Gordon Jones,TAM,WR,25.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,205.0,14.64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,1.0,38.5
David Hughes,SEA,RB,23.0,9.0,3.0,0.0,0.0,0.0,0.0,30.0,106.0,11.0,98.0,8.91,0.0,0.0,0.0,0.0,0.0,106.0,0.0,30.0,98.0,1.0,37.4
Lindsay Scott,NOR,WR,22.0,8.0,7.0,0.0,0.0,0.0,0.0,1.0,-4.0,17.0,251.0,14.76,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,1.0,251.0,0.0,41.7
Jerome Barkum,NYJ,TE,32.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,182.0,9.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,1.0,43.2
Dave Krieg,SEA,QB,24.0,3.0,2.0,49.0,78.0,501.0,2.0,6.0,-3.0,0.0,0.0,0.0,5.0,0.0,501.0,2.0,78.0,-3.0,0.0,6.0,0.0,0.0,13.739999999999998
Terry LeCount,MIN,WR,26.0,9.0,3.0,0.0,0.0,0.0,0.0,1.0,-3.0,14.0,179.0,12.79,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,1.0,179.0,1.0,37.6
Darrin Nelson,MIN,RB,23.0,7.0,4.0,0.0,0.0,0.0,0.0,44.0,136.0,9.0,100.0,11.11,2.0,0.0,0.0,0.0,0.0,136.0,0.0,44.0,100.0,0.0,28.6
Walter Abercrombie,PIT,RB,23.0,6.0,0.0,0.0,0.0,0.0,0.0,21.0,100.0,1.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,100.0,2.0,21.0,14.0,0.0,24.4
Mike Barber,RAM,TE,29.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,166.0,9.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,1.0,40.6
Curtis Brown,BUF,RB,28.0,9.0,3.0,0.0,0.0,0.0,0.0,41.0,187.0,6.0,38.0,6.33,1.0,0.0,0.0,0.0,0.0,187.0,0.0,41.0,38.0,0.0,26.5
Billy Joe DuPree,DAL,TE,32.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,41.0,5.86,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,41.0,2.0,29.700000000000003
Ahmad Rashad,MIN,WR,33.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,233.0,10.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,0.0,46.3
Eric Sievers,SDG,TE,25.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,173.0,14.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,1.0,35.3
J.T. Smith,KAN,WR,27.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,168.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,1.0,32.8
Bob Bruer,MIN,TE,29.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,102.0,12.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,2.0,30.2
Lin Dawson,NWE,TE,23.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,160.0,12.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,1.0,35.0
Don Hasselbeck,NWE,TE,27.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,158.0,10.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,1.0,36.8
Eric Hipple,DET,QB,25.0,9.0,4.0,36.0,86.0,411.0,4.0,10.0,57.0,0.0,0.0,0.0,1.0,0.0,411.0,2.0,86.0,57.0,0.0,10.0,0.0,0.0,20.14
Renaldo Nehemiah,SFO,WR,23.0,8.0,3.0,0.0,0.0,0.0,0.0,1.0,-1.0,8.0,161.0,20.13,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,161.0,1.0,30.0
Dave Preston,DEN,RB,27.0,8.0,5.0,0.0,0.0,0.0,0.0,19.0,81.0,14.0,134.0,9.57,3.0,0.0,0.0,0.0,0.0,81.0,0.0,19.0,134.0,0.0,29.5
Mike Quick,PHI,WR,23.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,156.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,1.0,31.6
Rickey Watts,CHI,WR,25.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,8.0,217.0,27.13,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,217.0,0.0,27.6
Cliff Chatman,NYG,RB,23.0,6.0,3.0,0.0,0.0,0.0,0.0,22.0,80.0,1.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,80.0,2.0,22.0,13.0,0.0,22.3
Cleveland Franklin,BAL,RB,27.0,9.0,0.0,0.0,0.0,0.0,0.0,43.0,152.0,9.0,61.0,6.78,2.0,0.0,0.0,0.0,0.0,152.0,0.0,43.0,61.0,0.0,26.3
Rickey Young,MIN,RB,29.0,9.0,1.0,0.0,0.0,0.0,0.0,16.0,49.0,4.0,44.0,11.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0,16.0,44.0,1.0,25.3
Theo Bell,TAM,WR,29.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,203.0,13.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,0.0,35.3
Billy Campfield,PHI,RB,26.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,14.0,141.0,10.07,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,141.0,1.0,32.300000000000004
Mark Herrmann,DEN,QB,23.0,2.0,1.0,32.0,60.0,421.0,4.0,3.0,7.0,0.0,0.0,0.0,1.0,0.0,421.0,1.0,60.0,7.0,1.0,3.0,0.0,0.0,17.54
Horace King,DET,RB,29.0,9.0,1.0,0.0,0.0,0.0,0.0,18.0,67.0,9.0,74.0,8.22,0.0,0.0,0.0,0.0,0.0,67.0,0.0,18.0,74.0,1.0,29.1
Aundra Thompson,NOR,WR,29.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,138.0,17.25,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,138.0,1.0,26.0
Bruce Hardy,MIA,TE,26.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,66.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,2.0,30.6
Ken Toler,NWE,WR,23.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,63.0,31.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,63.0,2.0,20.7
Charle Young,SFO,TE,31.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,189.0,8.59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,0.0,38.9
Anthony Hancock,KAN,WR,22.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,116.0,16.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,1.0,22.6
Leroy Harris,PHI,RB,28.0,7.0,1.0,0.0,0.0,0.0,0.0,17.0,39.0,3.0,17.0,5.67,2.0,0.0,0.0,0.0,0.0,39.0,2.0,17.0,17.0,0.0,16.6
Mike Holston,HOU,WR,24.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,116.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,1.0,22.6
James Wright,DEN,TE,26.0,9.0,3.0,0.0,0.0,0.0,0.0,1.0,-4.0,9.0,120.0,13.33,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,1.0,120.0,1.0,26.6
Morris Bradshaw,NWE,WR,30.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,111.0,18.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,1.0,21.1
Hoby Brenner,NOR,TE,23.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,171.0,10.69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,0.0,31.1
Preston Brown,NWE,WR,24.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,114.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,1.0,21.4
Floyd Hodge,ATL,WR,23.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,14.0,160.0,11.43,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,160.0,0.0,31.1
Dwight Scales,SDG,WR,29.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,105.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,1.0,22.5
Mosi Tatupu,NWE,RB,27.0,9.0,0.0,0.0,0.0,0.0,0.0,30.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,30.0,0.0,0.0,16.8
Robert Weathers,NWE,RB,22.0,6.0,2.0,0.0,0.0,0.0,0.0,24.0,83.0,3.0,24.0,8.0,1.0,0.0,0.0,0.0,0.0,83.0,1.0,24.0,24.0,0.0,17.700000000000003
David Verser,CIN,WR,24.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,98.0,24.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,98.0,1.0,19.9
Rick Walker,WAS,TE,27.0,9.0,7.0,0.0,0.0,0.0,0.0,2.0,11.0,12.0,92.0,7.67,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,92.0,1.0,28.3
Willard Harrell,STL,RB,30.0,7.0,0.0,1.0,1.0,10.0,0.0,4.0,14.0,11.0,127.0,11.55,0.0,0.0,10.0,0.0,1.0,14.0,0.0,4.0,127.0,0.0,25.5
Horace Ivory,SEA,RB,28.0,6.0,0.0,0.0,0.0,0.0,0.0,13.0,51.0,5.0,38.0,7.6,0.0,0.0,0.0,0.0,0.0,51.0,1.0,13.0,38.0,0.0,19.9
Pete Metzelaars,SEA,TE,22.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,152.0,10.13,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,26.2
Calvin Muhammad,RAI,WR,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,92.0,30.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,1.0,18.2
Virgil Seay,WAS,WR,24.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,154.0,25.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,21.4
Gerald Carter,TAM,WR,25.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,140.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,24.0
Dwayne Crutchfield,NYJ,RB,23.0,6.0,0.0,0.0,0.0,0.0,0.0,22.0,78.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,78.0,1.0,22.0,0.0,0.0,11.8
Louie Giammona,PHI,RB,29.0,9.0,0.0,0.0,1.0,0.0,1.0,11.0,29.0,8.0,67.0,8.38,1.0,0.0,0.0,0.0,1.0,29.0,1.0,11.0,67.0,0.0,19.6
Nat Moore,MIA,WR,31.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,82.0,10.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,1.0,22.2
Joe Morris,NYG,RB,22.0,5.0,0.0,0.0,0.0,0.0,0.0,15.0,48.0,8.0,34.0,4.25,1.0,0.0,0.0,0.0,0.0,48.0,1.0,15.0,34.0,0.0,20.2
