Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att.1,Yds.1,Rec,Yds.2,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
Walter Payton,CHI,RB,25.0,16.0,16.0,1.0,1.0,54.0,0.0,369.0,1610.0,31.0,313.0,10.1,7.0,0.0,54.0,1.0,1.0,1610.0,14.0,369.0,313.0,2.0,311.46
Earl Campbell,HOU,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,368.0,1697.0,16.0,94.0,5.88,8.0,0.0,0.0,0.0,0.0,1697.0,19.0,368.0,94.0,0.0,293.1
Wilbert Montgomery,PHI,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,338.0,1512.0,41.0,494.0,12.05,14.0,0.0,0.0,0.0,0.0,1512.0,9.0,338.0,494.0,5.0,297.6
Ottis Anderson,STL,RB,22.0,16.0,16.0,0.0,1.0,0.0,0.0,331.0,1605.0,41.0,308.0,7.51,10.0,0.0,0.0,0.0,1.0,1605.0,8.0,331.0,308.0,2.0,272.3
Mike Pruitt,CLE,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,264.0,1294.0,41.0,372.0,9.07,6.0,0.0,0.0,0.0,0.0,1294.0,9.0,264.0,372.0,2.0,261.6
Steve Largent,SEA,WR,25.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,1237.0,18.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1237.0,9.0,243.7
Stanley Morgan,NWE,WR,24.0,16.0,16.0,0.0,0.0,0.0,0.0,7.0,39.0,44.0,1002.0,22.77,1.0,0.0,0.0,0.0,0.0,39.0,0.0,7.0,1002.0,12.0,218.1
Chuck Muncie,NOR,RB,26.0,16.0,15.0,1.0,2.0,40.0,0.0,238.0,1198.0,40.0,308.0,7.7,8.0,0.0,40.0,1.0,2.0,1198.0,11.0,238.0,308.0,0.0,246.2
Steve Grogan,NWE,QB,26.0,16.0,16.0,206.0,423.0,3286.0,20.0,64.0,368.0,0.0,0.0,0.0,12.0,0.0,3286.0,28.0,423.0,368.0,2.0,64.0,0.0,0.0,228.24
Franco Harris,PIT,RB,29.0,15.0,15.0,0.0,0.0,0.0,0.0,267.0,1186.0,36.0,291.0,8.08,11.0,0.0,0.0,0.0,0.0,1186.0,11.0,267.0,291.0,1.0,233.7
