Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Shaun Alexander,SEA,RB,28.0,16.0,16.0,29.0,15.0,0.0,0.0,0.0,1880.0,27.0,370.0,78.0,1.0,376.8,0.0,5.0,1.0
Larry Johnson,KAN,RB,26.0,16.0,9.0,49.0,33.0,0.0,0.0,0.0,1750.0,20.0,336.0,343.0,1.0,360.3,0.0,5.0,4.0
LaDainian Tomlinson,SDG,RB,26.0,16.0,16.0,77.0,51.0,47.0,3.0,4.0,1462.0,18.0,339.0,370.0,2.0,366.08,0.0,3.0,1.0
Tiki Barber,NYG,RB,30.0,16.0,16.0,70.0,54.0,0.0,0.0,1.0,1860.0,9.0,357.0,530.0,2.0,357.0,0.0,1.0,1.0
Edgerrin James,IND,RB,27.0,15.0,15.0,50.0,44.0,0.0,0.0,0.0,1506.0,13.0,360.0,337.0,1.0,310.3,0.0,2.0,1.0
Steve Smith,CAR,WR,26.0,16.0,16.0,150.0,103.0,0.0,0.0,0.0,25.0,1.0,4.0,1563.0,12.0,337.8,0.0,2.0,1.0
Clinton Portis,WAS,RB,24.0,16.0,16.0,41.0,30.0,17.0,1.0,2.0,1516.0,11.0,352.0,216.0,0.0,269.88,0.0,3.0,2.0
Antonio Gates,SDG,TE,25.0,15.0,15.0,140.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,1101.0,10.0,259.1,0.0,0.0,0.0
Larry Fitzgerald,ARI,WR,22.0,16.0,16.0,165.0,103.0,0.0,0.0,0.0,41.0,0.0,8.0,1409.0,10.0,308.0,0.0,0.0,0.0
Santana Moss,WAS,WR,26.0,16.0,16.0,134.0,84.0,0.0,0.0,0.0,-3.0,0.0,3.0,1483.0,9.0,284.0,0.0,3.0,1.0
Chad Johnson,CIN,WR,27.0,16.0,16.0,155.0,97.0,0.0,0.0,0.0,33.0,0.0,5.0,1432.0,9.0,297.5,0.0,1.0,0.0
LaMont Jordan,OAK,RB,27.0,14.0,14.0,103.0,70.0,0.0,0.0,0.0,1025.0,9.0,272.0,563.0,2.0,292.8,0.0,2.0,1.0
Rudi Johnson,CIN,RB,26.0,16.0,14.0,30.0,23.0,0.0,0.0,0.0,1458.0,12.0,337.0,90.0,0.0,249.8,0.0,1.0,0.0
Joey Galloway,TAM,WR,34.0,16.0,16.0,152.0,83.0,0.0,0.0,0.0,4.0,0.0,2.0,1287.0,10.0,272.1,0.0,0.0,0.0
Anquan Boldin,ARI,WR,25.0,14.0,14.0,171.0,102.0,0.0,0.0,1.0,45.0,0.0,12.0,1402.0,7.0,286.7,0.0,2.0,1.0
Torry Holt,STL,WR,29.0,14.0,14.0,163.0,102.0,0.0,0.0,0.0,2.0,0.0,1.0,1331.0,9.0,289.3,0.0,2.0,0.0
Chris Chambers,MIA,WR,27.0,16.0,16.0,166.0,82.0,0.0,0.0,0.0,92.0,0.0,12.0,1118.0,11.0,265.0,0.0,5.0,2.0
Marvin Harrison,IND,WR,33.0,15.0,15.0,134.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,1146.0,12.0,268.6,0.0,0.0,0.0
Jeremy Shockey,NYG,TE,25.0,15.0,15.0,121.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,891.0,7.0,196.1,0.0,0.0,0.0
Carson Palmer,CIN,QB,26.0,16.0,16.0,0.0,0.0,3836.0,32.0,509.0,41.0,1.0,34.0,0.0,0.0,263.54,12.0,5.0,2.0
Thomas Jones,CHI,RB,27.0,15.0,15.0,39.0,26.0,0.0,0.0,0.0,1335.0,9.0,314.0,143.0,0.0,223.8,0.0,2.0,2.0
Mike Anderson,DEN,0,32.0,15.0,15.0,21.0,18.0,0.0,0.0,0.0,1014.0,12.0,239.0,212.0,1.0,214.6,0.0,2.0,2.0
Todd Heap,BAL,TE,25.0,16.0,16.0,114.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,855.0,7.0,200.5,0.0,2.0,1.0
Steven Jackson,STL,RB,22.0,15.0,15.0,55.0,43.0,0.0,0.0,0.0,1046.0,8.0,254.0,320.0,2.0,233.6,0.0,3.0,3.0
Hines Ward,PIT,WR,29.0,15.0,15.0,114.0,69.0,0.0,0.0,0.0,10.0,0.0,3.0,975.0,11.0,231.5,0.0,1.0,1.0
Alge Crumpler,ATL,TE,28.0,16.0,16.0,118.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,877.0,5.0,180.7,0.0,1.0,1.0
Plaxico Burress,NYG,WR,28.0,16.0,15.0,166.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,1214.0,7.0,237.4,0.0,1.0,1.0
Tom Brady,NWE,QB,28.0,16.0,16.0,0.0,0.0,4110.0,26.0,530.0,89.0,1.0,27.0,0.0,0.0,249.3,14.0,4.0,3.0
Warrick Dunn,ATL,RB,30.0,16.0,16.0,37.0,29.0,0.0,0.0,0.0,1416.0,3.0,280.0,220.0,1.0,214.6,0.0,3.0,1.0
Terry Glenn,DAL,WR,31.0,16.0,16.0,119.0,62.0,0.0,0.0,0.0,-4.0,1.0,2.0,1136.0,7.0,223.2,0.0,0.0,0.0
Jason Witten,DAL,TE,23.0,16.0,16.0,89.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,757.0,6.0,177.7,0.0,0.0,0.0
Peyton Manning,IND,QB,29.0,16.0,16.0,0.0,0.0,3747.0,28.0,453.0,45.0,0.0,33.0,0.0,0.0,244.38,10.0,5.0,1.0
Donald Driver,GNB,WR,30.0,16.0,16.0,146.0,86.0,0.0,0.0,0.0,13.0,0.0,2.0,1221.0,5.0,239.4,0.0,0.0,0.0
