Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Barry Sanders,DET,RB,29.0,16.0,16.0,50.0,33.0,0.0,0.0,0.0,2053.0,11.0,335.0,305.0,3.0,348.8,0.0,3.0,2.0
Terrell Davis,DEN,RB,25.0,15.0,15.0,58.0,42.0,0.0,0.0,0.0,1750.0,15.0,369.0,287.0,0.0,335.7,0.0,4.0,0.0
Dorsey Levens,GNB,RB,27.0,16.0,16.0,67.0,53.0,0.0,0.0,0.0,1435.0,7.0,329.0,370.0,5.0,301.5,0.0,5.0,2.0
Jerome Bettis,PIT,RB,25.0,15.0,15.0,24.0,15.0,0.0,0.0,0.0,1665.0,7.0,375.0,110.0,2.0,236.5,0.0,6.0,5.0
Brett Favre,GNB,QB,28.0,16.0,16.0,0.0,0.0,3867.0,35.0,513.0,187.0,1.0,58.0,0.0,0.0,279.38,16.0,7.0,4.0
Rob Moore,ARI,WR,29.0,16.0,16.0,208.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.0,8.0,303.4,0.0,0.0,0.0
Kordell Stewart,PIT,QB,25.0,16.0,16.0,0.0,0.0,3020.0,21.0,440.0,476.0,11.0,88.0,0.0,0.0,276.4,17.0,6.0,4.0
Napoleon Kaufman,OAK,RB,24.0,16.0,16.0,50.0,40.0,0.0,0.0,1.0,1294.0,6.0,272.0,403.0,2.0,249.7,0.0,7.0,4.0
Antonio Freeman,GNB,WR,25.0,16.0,16.0,137.0,81.0,0.0,0.0,0.0,14.0,0.0,1.0,1243.0,12.0,276.7,0.0,1.0,1.0
Karim Abdul-Jabbar,MIA,RB,23.0,16.0,14.0,49.0,29.0,0.0,0.0,0.0,892.0,15.0,283.0,261.0,1.0,236.3,0.0,3.0,2.0
Rod Smith,DEN,WR,27.0,16.0,16.0,131.0,70.0,0.0,0.0,0.0,16.0,0.0,5.0,1180.0,12.0,259.6,0.0,3.0,1.0
Cris Carter,MIN,WR,32.0,16.0,16.0,158.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,1069.0,13.0,271.9,0.0,3.0,1.0
