Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Marshall Faulk,STL,RB,27.0,14.0,14.0,113.0,81.0,0.0,0.0,0.0,1359.0,18.0,253.0,830.0,8.0,455.9,0.0,0.0,0.0
Edgerrin James,IND,RB,22.0,16.0,16.0,87.0,63.0,0.0,0.0,0.0,1709.0,13.0,387.0,594.0,5.0,393.3,0.0,5.0,4.0
Daunte Culpepper,MIN,QB,23.0,16.0,16.0,0.0,0.0,3937.0,33.0,474.0,470.0,7.0,89.0,0.0,0.0,334.48,16.0,11.0,6.0
Jeff Garcia,SFO,QB,30.0,16.0,16.0,0.0,0.0,4278.0,31.0,561.0,414.0,4.0,72.0,0.0,0.0,338.52,10.0,7.0,1.0
Eddie George,TEN,RB,27.0,16.0,16.0,65.0,50.0,0.0,0.0,0.0,1509.0,14.0,403.0,453.0,2.0,334.2,0.0,5.0,4.0
Randy Moss,MIN,WR,23.0,16.0,16.0,129.0,77.0,0.0,0.0,0.0,5.0,0.0,3.0,1437.0,15.0,311.2,0.0,2.0,0.0
Tony Gonzalez,KAN,TE,24.0,16.0,16.0,150.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,1203.0,9.0,267.3,0.0,0.0,0.0
Terrell Owens,SFO,WR,27.0,14.0,13.0,146.0,97.0,0.0,0.0,0.0,11.0,0.0,3.0,1451.0,13.0,319.2000000000001,0.0,3.0,1.0
Marvin Harrison,IND,WR,28.0,16.0,16.0,169.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,1413.0,14.0,327.3,0.0,2.0,0.0
Rod Smith,DEN,WR,30.0,16.0,16.0,173.0,100.0,0.0,0.0,0.0,99.0,1.0,6.0,1602.0,8.0,322.1,0.0,1.0,1.0
Mike Anderson,DEN,RB,27.0,16.0,12.0,32.0,23.0,0.0,0.0,0.0,1487.0,15.0,297.0,169.0,0.0,270.6,0.0,4.0,4.0
Rich Gannon,OAK,QB,35.0,16.0,16.0,0.0,0.0,3430.0,28.0,473.0,529.0,4.0,89.0,0.0,0.0,294.1,11.0,9.0,5.0
Ahman Green,GNB,RB,23.0,16.0,11.0,99.0,73.0,0.0,0.0,1.0,1175.0,10.0,263.0,559.0,3.0,316.4,0.0,6.0,4.0
Peyton Manning,IND,QB,24.0,16.0,16.0,0.0,0.0,4413.0,33.0,571.0,116.0,1.0,37.0,0.0,0.0,290.12,15.0,5.0,3.0
Fred Taylor,JAX,RB,24.0,13.0,13.0,53.0,36.0,0.0,0.0,0.0,1399.0,12.0,292.0,240.0,2.0,279.9,0.0,4.0,2.0
