Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Aaron Rodgers,GNB,QB,28.0,15.0,15.0,0.0,0.0,4643.0,45.0,502.0,257.0,3.0,60.0,0.0,0.0,397.42,6.0,5.0,0.0
Drew Brees,NOR,QB,32.0,16.0,16.0,0.0,0.0,5476.0,46.0,657.0,86.0,1.0,21.0,0.0,0.0,387.64,14.0,1.0,1.0
Ray Rice,BAL,RB,24.0,16.0,16.0,104.0,76.0,1.0,1.0,1.0,1364.0,12.0,291.0,704.0,3.0,372.84,0.0,2.0,2.0
Calvin Johnson,DET,WR,26.0,16.0,16.0,158.0,96.0,0.0,0.0,0.0,11.0,0.0,1.0,1681.0,16.0,359.20000000000016,0.0,1.0,1.0
Cam Newton,CAR,QB,22.0,16.0,16.0,1.0,1.0,4051.0,21.0,517.0,706.0,14.0,126.0,27.0,0.0,366.34,17.0,5.0,2.0
Rob Gronkowski,NWE,TE,22.0,16.0,16.0,124.0,90.0,0.0,0.0,0.0,2.0,1.0,1.0,1327.0,17.0,330.9,0.0,0.0,0.0
Tom Brady,NWE,QB,34.0,16.0,16.0,0.0,0.0,5235.0,39.0,611.0,109.0,3.0,43.0,0.0,0.0,366.3,12.0,6.0,2.0
LeSean McCoy,PHI,RB,23.0,15.0,15.0,69.0,48.0,0.0,0.0,0.0,1309.0,17.0,273.0,315.0,3.0,328.4,0.0,1.0,1.0
Matthew Stafford,DET,QB,23.0,16.0,16.0,0.0,0.0,5038.0,41.0,663.0,78.0,0.0,22.0,0.0,0.0,339.32,16.0,5.0,1.0
Maurice Jones-Drew,JAX,RB,26.0,16.0,16.0,64.0,43.0,0.0,0.0,0.0,1606.0,8.0,343.0,374.0,3.0,305.0,0.0,6.0,1.0
Arian Foster,HOU,RB,25.0,13.0,13.0,72.0,53.0,0.0,0.0,0.0,1224.0,10.0,278.0,617.0,2.0,305.1,0.0,6.0,2.0
Jordy Nelson,GNB,WR,26.0,16.0,9.0,96.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1263.0,15.0,284.3,0.0,0.0,0.0
Jimmy Graham,NOR,TE,25.0,16.0,11.0,149.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.0,11.0,294.0,0.0,1.0,1.0
Wes Welker,NWE,WR,30.0,16.0,15.0,173.0,122.0,0.0,0.0,0.0,30.0,0.0,4.0,1569.0,9.0,335.9,0.0,1.0,0.0
Victor Cruz,NYG,WR,25.0,16.0,7.0,131.0,82.0,0.0,0.0,0.0,3.0,0.0,1.0,1536.0,9.0,287.9000000000001,0.0,1.0,1.0
Larry Fitzgerald,ARI,WR,28.0,16.0,16.0,154.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,1411.0,8.0,269.1,0.0,0.0,0.0
Steve Smith,CAR,WR,32.0,16.0,16.0,129.0,79.0,0.0,0.0,0.0,56.0,0.0,6.0,1394.0,7.0,262.0,0.0,3.0,2.0
