Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Jerry Rice,SFO,WR,31.0,16.0,16.0,153.0,98.0,0.0,0.0,0.0,69.0,1.0,3.0,1503.0,15.0,345.2,0.0,3.0,0.0
Emmitt Smith,DAL,RB,24.0,14.0,13.0,65.0,57.0,0.0,0.0,0.0,1486.0,9.0,283.0,414.0,1.0,299.0,0.0,4.0,0.0
Steve Young,SFO,QB,32.0,16.0,16.0,2.0,2.0,4023.0,29.0,462.0,407.0,2.0,69.0,2.0,0.0,283.81999999999994,16.0,8.0,0.0
Andre Rison,ATL,WR,26.0,16.0,16.0,165.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,1242.0,15.0,296.2,0.0,2.0,0.0
Shannon Sharpe,DEN,TE,25.0,16.0,12.0,110.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,995.0,9.0,232.5,0.0,1.0,0.0
Jerome Bettis,RAM,RB,21.0,16.0,12.0,34.0,26.0,0.0,0.0,0.0,1429.0,7.0,294.0,244.0,0.0,227.3,0.0,4.0,0.0
Thurman Thomas,BUF,RB,27.0,16.0,16.0,71.0,48.0,0.0,0.0,1.0,1315.0,6.0,355.0,387.0,0.0,242.2,0.0,6.0,0.0
Sterling Sharpe,GNB,WR,28.0,16.0,16.0,189.0,112.0,1.0,0.0,1.0,8.0,0.0,4.0,1274.0,11.0,304.24,0.0,1.0,0.0
John Elway,DEN,QB,33.0,16.0,16.0,0.0,0.0,4030.0,25.0,551.0,153.0,0.0,44.0,0.0,0.0,240.5,10.0,8.0,0.0
Ricky Watters,SFO,RB,24.0,13.0,13.0,45.0,31.0,0.0,0.0,0.0,950.0,10.0,208.0,326.0,1.0,214.6,0.0,5.0,0.0
Marcus Allen,KAN,RB,33.0,16.0,10.0,46.0,34.0,0.0,0.0,0.0,764.0,12.0,206.0,238.0,3.0,216.2,0.0,4.0,0.0
Michael Irvin,DAL,WR,27.0,16.0,16.0,143.0,88.0,0.0,0.0,0.0,6.0,0.0,2.0,1330.0,7.0,263.6,0.0,0.0,0.0
Eric Green,PIT,TE,26.0,16.0,16.0,113.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,942.0,5.0,181.2,0.0,3.0,0.0
Leonard Russell,NWE,RB,24.0,16.0,15.0,37.0,26.0,0.0,0.0,0.0,1088.0,7.0,300.0,245.0,0.0,193.3,0.0,4.0,0.0
Gary Brown,HOU,RB,24.0,16.0,8.0,30.0,21.0,0.0,0.0,0.0,1002.0,6.0,195.0,240.0,2.0,185.2,0.0,4.0,0.0
Ben Coates,NWE,TE,24.0,16.0,10.0,93.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,659.0,8.0,166.9,0.0,0.0,0.0
Johnny Johnson,NYJ,RB,25.0,15.0,9.0,83.0,67.0,0.0,0.0,0.0,821.0,3.0,198.0,641.0,1.0,227.2,0.0,5.0,0.0
Cris Carter,MIN,WR,28.0,16.0,16.0,143.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,1071.0,9.0,247.1,0.0,0.0,0.0
Tim Brown,RAI,WR,27.0,16.0,16.0,127.0,80.0,0.0,0.0,0.0,7.0,0.0,2.0,1180.0,7.0,238.7,0.0,1.0,0.0
Erric Pegram,ATL,RB,24.0,16.0,14.0,42.0,33.0,0.0,0.0,0.0,1185.0,3.0,292.0,302.0,0.0,187.7,0.0,6.0,0.0
Anthony Miller,SDG,WR,28.0,16.0,16.0,162.0,84.0,0.0,0.0,0.0,0.0,0.0,1.0,1162.0,7.0,242.2,0.0,0.0,0.0
Terry Kirby,MIA,RB,23.0,16.0,8.0,95.0,75.0,0.0,0.0,0.0,390.0,3.0,119.0,874.0,3.0,227.4,0.0,5.0,0.0
Edgar Bennett,GNB,RB,24.0,16.0,14.0,74.0,59.0,0.0,0.0,0.0,550.0,9.0,159.0,457.0,1.0,219.7,0.0,0.0,0.0
Jeff Hostetler,RAI,QB,32.0,15.0,15.0,1.0,0.0,3242.0,14.0,419.0,202.0,5.0,55.0,0.0,0.0,203.88,10.0,6.0,0.0
Herschel Walker,PHI,RB,31.0,16.0,16.0,91.0,75.0,0.0,0.0,0.0,746.0,1.0,174.0,610.0,3.0,228.6,0.0,3.0,0.0
Chris Warren,SEA,RB,25.0,14.0,14.0,21.0,15.0,0.0,0.0,0.0,1072.0,7.0,273.0,99.0,0.0,168.1,0.0,3.0,0.0
Rodney Hampton,NYG,RB,24.0,12.0,10.0,23.0,18.0,0.0,0.0,0.0,1077.0,5.0,292.0,210.0,0.0,172.7,0.0,2.0,0.0
Ronald Moore,PHO,RB,23.0,16.0,11.0,7.0,3.0,0.0,0.0,0.0,1018.0,9.0,263.0,16.0,0.0,154.39999999999995,0.0,3.0,0.0
Johnny Mitchell,NYJ,TE,22.0,14.0,14.0,73.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0,6.0,138.0,0.0,0.0,0.0
Keith Jackson,MIA,TE,28.0,15.0,15.0,73.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,613.0,6.0,132.3,0.0,2.0,0.0
Barry Sanders,DET,RB,25.0,11.0,11.0,48.0,36.0,0.0,0.0,0.0,1115.0,3.0,243.0,205.0,0.0,180.0,0.0,3.0,0.0
Brent Jones,SFO,TE,30.0,16.0,16.0,94.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0,3.0,155.5,0.0,2.0,0.0
Barry Foster,PIT,RB,25.0,9.0,9.0,34.0,27.0,0.0,0.0,0.0,711.0,8.0,177.0,217.0,1.0,167.8,0.0,3.0,0.0
Warren Moon,HOU,QB,37.0,15.0,14.0,0.0,0.0,3485.0,21.0,520.0,145.0,1.0,48.0,0.0,0.0,175.9,21.0,13.0,0.0
Reggie Brooks,WAS,RB,22.0,16.0,11.0,35.0,21.0,0.0,0.0,0.0,1063.0,3.0,223.0,186.0,0.0,155.9,0.0,4.0,0.0
Rod Bernstine,DEN,RB,28.0,15.0,14.0,61.0,44.0,0.0,0.0,0.0,816.0,4.0,223.0,372.0,0.0,180.8,0.0,3.0,0.0
Ricky Proehl,PHO,WR,25.0,16.0,16.0,108.0,65.0,0.0,0.0,0.0,47.0,0.0,8.0,877.0,7.0,197.4,0.0,1.0,0.0
Pete Metzelaars,BUF,TE,33.0,16.0,16.0,95.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0,4.0,150.9,0.0,1.0,0.0
Jackie Harris,GNB,TE,25.0,12.0,12.0,73.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,604.0,4.0,126.4,0.0,0.0,0.0
Willie Davis,KAN,WR,26.0,16.0,15.0,101.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,909.0,7.0,184.9,0.0,0.0,0.0
Mark Bavaro,PHI,TE,30.0,16.0,16.0,72.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,481.0,6.0,127.1,0.0,0.0,0.0
Boomer Esiason,NYJ,QB,32.0,16.0,16.0,1.0,1.0,3421.0,16.0,473.0,118.0,1.0,45.0,-8.0,0.0,170.84,11.0,13.0,0.0
Calvin Williams,PHI,WR,26.0,16.0,14.0,104.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,725.0,10.0,192.5,0.0,0.0,0.0
Irving Fryar,MIA,WR,31.0,16.0,16.0,118.0,64.0,0.0,0.0,0.0,-4.0,0.0,3.0,1010.0,5.0,194.6,0.0,0.0,0.0
Herman Moore,DET,WR,24.0,15.0,15.0,112.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,935.0,6.0,186.5,0.0,2.0,0.0
John Taylor,SFO,WR,31.0,16.0,16.0,74.0,56.0,41.0,0.0,1.0,17.0,0.0,2.0,940.0,5.0,181.34,0.0,1.0,0.0
Eric Metcalf,CLE,RB,25.0,16.0,9.0,84.0,63.0,0.0,0.0,0.0,611.0,1.0,129.0,539.0,2.0,188.0,0.0,4.0,0.0
Michael Jackson,CLE,WR,24.0,15.0,11.0,92.0,41.0,25.0,0.0,1.0,1.0,0.0,1.0,756.0,8.0,163.7,0.0,1.0,0.0
Brett Favre,GNB,QB,24.0,16.0,16.0,0.0,0.0,3303.0,19.0,522.0,216.0,1.0,58.0,0.0,0.0,159.72,24.0,14.0,0.0
Andre Reed,BUF,WR,29.0,15.0,15.0,87.0,52.0,0.0,0.0,0.0,21.0,0.0,9.0,854.0,6.0,169.5,0.0,3.0,0.0
Courtney Hawkins,TAM,WR,24.0,16.0,12.0,109.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,933.0,5.0,181.3,0.0,2.0,0.0
Bobby Hebert,ATL,QB,33.0,14.0,12.0,0.0,0.0,2978.0,24.0,430.0,49.0,0.0,24.0,0.0,0.0,164.02,17.0,11.0,0.0
Reggie Langhorne,IND,WR,30.0,16.0,16.0,152.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,1038.0,3.0,198.8,0.0,4.0,0.0
