Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Jerricho Cotchery,NYJ,WR,28.0,14.0,5.0,86.0,41.0,0.0,0.0,0.0,-3.0,0.0,4.0,433.0,2.0,96.0,0.0,1.0,0.0
Toby Gerhart,MIN,RB,23.0,15.0,1.0,29.0,21.0,0.0,0.0,0.0,322.0,1.0,81.0,167.0,0.0,69.9,0.0,3.0,3.0
Javarris James,IND,RB,23.0,10.0,0.0,11.0,9.0,0.0,0.0,0.0,112.0,6.0,46.0,63.0,0.0,60.5,0.0,1.0,1.0
Roscoe Parrish,BUF,WR,28.0,8.0,6.0,53.0,33.0,0.0,0.0,0.0,23.0,0.0,3.0,400.0,2.0,87.3,0.0,1.0,0.0
Tashard Choice,DAL,RB,26.0,16.0,0.0,22.0,17.0,0.0,0.0,0.0,243.0,3.0,66.0,109.0,0.0,68.2,0.0,1.0,1.0
Dallas Clark,IND,TE,31.0,6.0,6.0,53.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,347.0,3.0,89.7,0.0,0.0,0.0
Devery Henderson,NOR,WR,28.0,16.0,11.0,59.0,34.0,0.0,0.0,0.0,8.0,0.0,3.0,464.0,1.0,87.2,0.0,0.0,0.0
David Nelson,BUF,WR,24.0,15.0,3.0,47.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,3.0,84.3,0.0,0.0,0.0
Matthew Stafford,DET,QB,22.0,3.0,3.0,0.0,0.0,535.0,6.0,96.0,11.0,1.0,4.0,0.0,0.0,48.5,1.0,2.0,1.0
Bruce Gradkowski,OAK,QB,27.0,6.0,4.0,0.0,0.0,1059.0,5.0,157.0,41.0,0.0,12.0,0.0,0.0,50.46,7.0,3.0,1.0
