Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att.1,Yds.1,Rec,Yds.2,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
Barry Sanders,DET,RB,23.0,15.0,15.0,0.0,0.0,0.0,0.0,342.0,1548.0,41.0,307.0,7.49,5.0,0.0,0.0,0.0,0.0,1548.0,16.0,342.0,307.0,1.0,318.5
Thurman Thomas,BUF,RB,25.0,15.0,15.0,0.0,0.0,0.0,0.0,288.0,1407.0,62.0,631.0,10.18,5.0,0.0,0.0,0.0,0.0,1407.0,7.0,288.0,631.0,5.0,327.79999999999995
Emmitt Smith,DAL,RB,22.0,16.0,16.0,0.0,0.0,0.0,0.0,365.0,1563.0,49.0,258.0,5.27,8.0,0.0,0.0,0.0,0.0,1563.0,12.0,365.0,258.0,1.0,293.1
Jim Kelly,BUF,QB,31.0,15.0,15.0,304.0,474.0,3844.0,17.0,20.0,45.0,0.0,0.0,0.0,6.0,0.0,3844.0,33.0,474.0,45.0,1.0,20.0,0.0,0.0,250.26
Jerry Rice,SFO,WR,29.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,2.0,80.0,1206.0,15.08,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1206.0,14.0,282.8
Warren Moon,HOU,QB,35.0,16.0,16.0,404.0,655.0,4690.0,21.0,33.0,68.0,0.0,0.0,0.0,11.0,0.0,4690.0,23.0,655.0,68.0,2.0,33.0,0.0,0.0,234.40000000000003
Michael Irvin,DAL,WR,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,1523.0,16.38,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1523.0,8.0,287.3
Gary Clark,WAS,WR,29.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,70.0,1340.0,19.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1340.0,10.0,264.0
Dan Marino,MIA,QB,30.0,16.0,16.0,318.0,549.0,3970.0,13.0,27.0,32.0,0.0,0.0,0.0,6.0,0.0,3970.0,25.0,549.0,32.0,1.0,27.0,0.0,0.0,230.0
Mark Rypien,WAS,QB,29.0,16.0,16.0,249.0,421.0,3564.0,11.0,15.0,6.0,0.0,0.0,0.0,9.0,0.0,3564.0,28.0,421.0,6.0,1.0,15.0,0.0,0.0,221.16
