Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Emmitt Smith,DAL,RB,23.0,16.0,16.0,74.0,59.0,0.0,0.0,0.0,1713.0,18.0,373.0,335.0,1.0,369.8,0.0,4.0,0.0
Thurman Thomas,BUF,RB,26.0,16.0,16.0,87.0,58.0,0.0,0.0,0.0,1487.0,9.0,312.0,626.0,3.0,329.2999999999999,0.0,6.0,0.0
Barry Foster,PIT,RB,24.0,16.0,15.0,50.0,36.0,0.0,0.0,1.0,1690.0,11.0,390.0,344.0,0.0,287.4,0.0,9.0,0.0
Terry Allen,MIN,RB,24.0,16.0,16.0,70.0,49.0,0.0,0.0,0.0,1201.0,13.0,266.0,478.0,2.0,288.9,0.0,9.0,0.0
Steve Young,SFO,QB,31.0,16.0,16.0,0.0,0.0,3465.0,25.0,402.0,537.0,4.0,76.0,0.0,0.0,284.3,7.0,9.0,0.0
Sterling Sharpe,GNB,WR,27.0,16.0,16.0,162.0,108.0,0.0,0.0,0.0,8.0,0.0,4.0,1461.0,13.0,328.9000000000001,0.0,2.0,0.0
Lorenzo White,HOU,RB,26.0,16.0,16.0,77.0,57.0,0.0,0.0,0.0,1226.0,7.0,265.0,641.0,1.0,287.7,0.0,2.0,0.0
Rodney Hampton,NYG,RB,23.0,16.0,16.0,38.0,28.0,0.0,0.0,0.0,1141.0,14.0,257.0,215.0,0.0,245.6,0.0,1.0,0.0
Barry Sanders,DET,RB,24.0,16.0,16.0,40.0,29.0,0.0,0.0,1.0,1352.0,9.0,312.0,225.0,1.0,234.7,0.0,6.0,0.0
Jerry Rice,SFO,WR,30.0,16.0,16.0,139.0,84.0,0.0,0.0,0.0,58.0,1.0,9.0,1201.0,10.0,271.90000000000003,0.0,2.0,0.0
Ricky Watters,SFO,RB,23.0,14.0,13.0,52.0,43.0,0.0,0.0,1.0,1013.0,9.0,206.0,405.0,2.0,246.8,0.0,2.0,0.0
Cleveland Gary,RAM,RB,26.0,16.0,16.0,55.0,52.0,0.0,0.0,0.0,1125.0,7.0,279.0,293.0,3.0,235.8,0.0,9.0,0.0
Michael Irvin,DAL,WR,26.0,16.0,14.0,122.0,78.0,0.0,0.0,0.0,-9.0,0.0,1.0,1396.0,7.0,256.70000000000005,0.0,1.0,0.0
Andre Rison,ATL,WR,25.0,15.0,13.0,144.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,1119.0,11.0,266.9,0.0,2.0,0.0
Herschel Walker,PHI,RB,30.0,16.0,16.0,47.0,38.0,0.0,0.0,1.0,1070.0,8.0,267.0,278.0,2.0,220.8,0.0,6.0,0.0
Randall Cunningham,PHI,QB,29.0,15.0,15.0,1.0,0.0,2775.0,19.0,384.0,549.0,5.0,87.0,0.0,0.0,223.9,11.0,13.0,0.0
Reggie Cobb,TAM,RB,24.0,16.0,13.0,25.0,21.0,0.0,0.0,0.0,1171.0,9.0,310.0,156.0,0.0,201.7,0.0,3.0,0.0
Earnest Byner,WAS,RB,30.0,16.0,16.0,49.0,39.0,41.0,1.0,3.0,998.0,6.0,262.0,338.0,1.0,218.24,0.0,1.0,0.0
Dan Marino,MIA,QB,31.0,16.0,16.0,0.0,0.0,4116.0,24.0,554.0,66.0,0.0,20.0,0.0,0.0,225.24,16.0,5.0,0.0
Anthony Miller,SDG,WR,27.0,16.0,16.0,137.0,72.0,0.0,0.0,0.0,-1.0,0.0,1.0,1060.0,7.0,219.9,0.0,0.0,0.0
Neal Anderson,CHI,RB,28.0,16.0,11.0,65.0,42.0,0.0,0.0,0.0,582.0,5.0,156.0,399.0,6.0,194.1,0.0,6.0,0.0
Ernest Givins,HOU,WR,28.0,16.0,16.0,111.0,67.0,0.0,0.0,0.0,75.0,0.0,7.0,787.0,10.0,207.2,0.0,3.0,0.0
Haywood Jeffires,HOU,WR,28.0,16.0,16.0,138.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,913.0,9.0,233.3,0.0,1.0,0.0
Troy Aikman,DAL,QB,26.0,16.0,16.0,0.0,0.0,3445.0,23.0,473.0,105.0,1.0,37.0,0.0,0.0,210.3,14.0,4.0,0.0
Fred Barnett,PHI,WR,26.0,16.0,16.0,118.0,67.0,0.0,0.0,0.0,-15.0,0.0,1.0,1083.0,6.0,207.8,0.0,1.0,0.0
Michael Haynes,ATL,WR,27.0,14.0,14.0,83.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,808.0,10.0,188.8,0.0,0.0,0.0
Jay Novacek,DAL,TE,30.0,16.0,16.0,99.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0,6.0,167.0,0.0,0.0,0.0
Eric Martin,NOR,WR,31.0,16.0,11.0,100.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1041.0,5.0,200.1,0.0,1.0,0.0
Harold Green,CIN,RB,24.0,16.0,15.0,48.0,41.0,0.0,0.0,0.0,1170.0,2.0,265.0,214.0,0.0,189.4,0.0,1.0,0.0
Mark Higgs,MIA,RB,26.0,16.0,15.0,20.0,16.0,0.0,0.0,0.0,915.0,7.0,256.0,142.0,0.0,153.7,0.0,5.0,0.0
Jim Kelly,BUF,QB,32.0,16.0,16.0,0.0,0.0,3457.0,23.0,462.0,53.0,1.0,31.0,0.0,0.0,187.58,19.0,8.0,0.0
Keith Jackson,MIA,TE,27.0,13.0,11.0,69.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,594.0,5.0,133.4,0.0,2.0,0.0
Brett Favre,GNB,QB,23.0,15.0,13.0,1.0,1.0,3227.0,18.0,471.0,198.0,1.0,47.0,-7.0,0.0,177.18000000000004,13.0,12.0,0.0
Brent Jones,SFO,TE,29.0,15.0,15.0,64.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,628.0,4.0,129.8,0.0,1.0,0.0
Keith Byars,PHI,TE,29.0,15.0,15.0,81.0,56.0,0.0,0.0,1.0,176.0,1.0,41.0,502.0,2.0,139.8,0.0,1.0,0.0
Jim Everett,RAM,QB,29.0,16.0,16.0,0.0,0.0,3323.0,22.0,475.0,133.0,0.0,32.0,0.0,0.0,188.22,18.0,5.0,0.0
Gary Clark,WAS,WR,30.0,16.0,14.0,131.0,64.0,0.0,0.0,0.0,18.0,0.0,2.0,912.0,5.0,185.0,0.0,1.0,0.0
Mark Jackson,DEN,WR,29.0,16.0,13.0,117.0,48.0,0.0,0.0,0.0,-1.0,0.0,3.0,745.0,8.0,170.4,0.0,0.0,0.0
Ronnie Harmon,SDG,RB,28.0,16.0,2.0,102.0,79.0,0.0,0.0,0.0,235.0,3.0,55.0,914.0,1.0,209.9,0.0,4.0,0.0
Herman Moore,DET,WR,23.0,12.0,11.0,89.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,966.0,4.0,171.6,0.0,0.0,0.0
Stan Humphries,SDG,QB,27.0,16.0,15.0,0.0,0.0,3356.0,16.0,454.0,79.0,4.0,28.0,0.0,0.0,176.14,18.0,9.0,0.0
Michael Jackson,CLE,WR,23.0,16.0,14.0,82.0,47.0,0.0,0.0,0.0,21.0,0.0,1.0,755.0,7.0,166.6,0.0,0.0,0.0
Mark Duper,MIA,WR,33.0,16.0,16.0,96.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,762.0,7.0,158.2,0.0,2.0,0.0
Mike Pritchard,ATL,WR,23.0,16.0,15.0,116.0,77.0,0.0,0.0,0.0,37.0,0.0,5.0,827.0,5.0,187.4,0.0,3.0,0.0
Andre Reed,BUF,WR,28.0,16.0,16.0,104.0,65.0,0.0,0.0,0.0,65.0,0.0,8.0,913.0,3.0,172.8,0.0,4.0,0.0
Chris Warren,SEA,RB,24.0,16.0,16.0,28.0,16.0,0.0,0.0,0.0,1017.0,3.0,223.0,134.0,0.0,145.1,0.0,2.0,0.0
Dalton Hilliard,NOR,RB,28.0,16.0,4.0,59.0,48.0,0.0,0.0,0.0,445.0,3.0,115.0,465.0,4.0,169.0,0.0,6.0,0.0
Shannon Sharpe,DEN,TE,24.0,16.0,11.0,77.0,53.0,0.0,0.0,0.0,-6.0,0.0,2.0,640.0,2.0,126.4,0.0,1.0,0.0
James Lofton,BUF,WR,36.0,16.0,15.0,110.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,786.0,6.0,165.6,0.0,0.0,0.0
Anthony Johnson,IND,RB,25.0,15.0,13.0,60.0,49.0,0.0,0.0,1.0,592.0,0.0,178.0,517.0,3.0,165.9,0.0,6.0,0.0
Bobby Hebert,NOR,QB,32.0,16.0,16.0,0.0,0.0,3287.0,19.0,422.0,95.0,0.0,32.0,0.0,0.0,178.98,16.0,3.0,0.0
Jackie Harris,GNB,TE,24.0,16.0,11.0,82.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,595.0,2.0,124.5,0.0,1.0,0.0
Tim Brown,RAI,WR,26.0,15.0,12.0,95.0,49.0,0.0,0.0,0.0,-4.0,0.0,3.0,693.0,7.0,147.9,0.0,6.0,0.0
Eric Metcalf,CLE,RB,24.0,16.0,5.0,69.0,47.0,0.0,0.0,1.0,301.0,1.0,73.0,614.0,5.0,162.5,0.0,6.0,0.0
Kerry Cash,IND,TE,23.0,16.0,16.0,75.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,3.0,113.1,0.0,0.0,0.0
Flipper Anderson,RAM,WR,27.0,15.0,9.0,79.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,657.0,7.0,143.7,0.0,1.0,0.0
Dave Krieg,KAN,QB,34.0,16.0,16.0,0.0,0.0,3115.0,15.0,413.0,74.0,2.0,37.0,0.0,0.0,160.0,12.0,10.0,0.0
Cris Carter,MIN,WR,27.0,12.0,12.0,92.0,53.0,0.0,0.0,0.0,15.0,0.0,5.0,681.0,6.0,156.6,0.0,1.0,0.0
Pete Metzelaars,BUF,TE,32.0,16.0,7.0,43.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,6.0,95.8,0.0,0.0,0.0
Brett Perriman,DET,WR,27.0,16.0,16.0,107.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,810.0,4.0,172.0,0.0,1.0,0.0
Randal Hill,PHO,WR,23.0,16.0,14.0,117.0,58.0,0.0,0.0,0.0,4.0,0.0,1.0,861.0,3.0,158.5,0.0,2.0,0.0
Irving Fryar,NWE,WR,30.0,15.0,14.0,106.0,55.0,0.0,0.0,0.0,6.0,0.0,1.0,791.0,4.0,158.7,0.0,0.0,0.0
Johnny Johnson,PHO,RB,24.0,12.0,8.0,19.0,14.0,0.0,0.0,0.0,734.0,6.0,178.0,103.0,0.0,129.7,0.0,2.0,0.0
Calvin Williams,PHI,WR,25.0,16.0,15.0,73.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,598.0,7.0,143.8,0.0,0.0,0.0
Curtis Duncan,HOU,WR,27.0,16.0,16.0,110.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,954.0,1.0,183.4,0.0,0.0,0.0
Heath Sherman,PHI,RB,25.0,16.0,7.0,23.0,18.0,0.0,0.0,0.0,583.0,5.0,112.0,219.0,1.0,128.2,0.0,3.0,0.0
Rob Moore,NYJ,WR,24.0,16.0,15.0,115.0,50.0,0.0,0.0,0.0,21.0,0.0,1.0,726.0,4.0,148.7,0.0,0.0,0.0
Ron Hall,TAM,TE,28.0,12.0,11.0,54.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,4.0,98.1,0.0,0.0,0.0
Warren Moon,HOU,QB,36.0,11.0,10.0,0.0,0.0,2521.0,18.0,346.0,147.0,1.0,27.0,0.0,0.0,155.54,12.0,7.0,0.0
Marion Butts,SDG,RB,26.0,15.0,15.0,11.0,9.0,0.0,0.0,0.0,809.0,4.0,218.0,73.0,0.0,113.2,0.0,4.0,0.0
Terry Orr,WAS,TE,31.0,16.0,7.0,33.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,3.0,73.6,0.0,1.0,0.0
Mark Carrier,TAM,WR,27.0,14.0,12.0,102.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,692.0,4.0,147.2,0.0,1.0,0.0
Marv Cook,NWE,TE,26.0,16.0,15.0,75.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0,2.0,99.3,0.0,3.0,0.0
Ricky Proehl,PHO,WR,24.0,16.0,15.0,107.0,60.0,0.0,0.0,1.0,23.0,0.0,3.0,744.0,3.0,142.70000000000005,1.0,5.0,0.0
Ethan Horton,RAI,TE,30.0,16.0,16.0,68.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,409.0,2.0,83.9,0.0,1.0,0.0
Mark Rypien,WAS,QB,30.0,16.0,16.0,0.0,0.0,3282.0,13.0,479.0,50.0,2.0,36.0,0.0,0.0,158.28,17.0,4.0,0.0
Willie Davis,KAN,WR,25.0,16.0,14.0,66.0,36.0,0.0,0.0,0.0,-11.0,0.0,1.0,756.0,3.0,128.5,0.0,0.0,0.0
Bob Christian,CHI,0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Chandler,PHO,QB,27.0,15.0,13.0,0.0,0.0,2832.0,15.0,413.0,149.0,1.0,36.0,0.0,0.0,146.18,15.0,9.0,0.0
Jim Harbaugh,CHI,QB,29.0,16.0,13.0,0.0,0.0,2486.0,13.0,358.0,272.0,1.0,47.0,0.0,0.0,148.64,12.0,6.0,0.0
Vinny Testaverde,TAM,QB,29.0,14.0,14.0,0.0,0.0,2554.0,14.0,358.0,197.0,2.0,36.0,0.0,0.0,149.86,16.0,4.0,0.0
Neil O'Donnell,PIT,QB,26.0,12.0,12.0,0.0,0.0,2283.0,13.0,313.0,5.0,1.0,27.0,0.0,0.0,119.82,9.0,6.0,0.0
Chris Miller,ATL,QB,27.0,8.0,8.0,0.0,0.0,1739.0,15.0,253.0,89.0,0.0,23.0,0.0,0.0,114.46,6.0,6.0,0.0
