Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
LaDainian Tomlinson,SDG,RB,27.0,16.0,16.0,80.0,56.0,20.0,2.0,3.0,1815.0,28.0,348.0,508.0,3.0,481.1,0.0,2.0,1.0
Larry Johnson,KAN,RB,27.0,16.0,16.0,66.0,41.0,0.0,0.0,1.0,1789.0,17.0,416.0,410.0,2.0,370.9,0.0,2.0,2.0
Steven Jackson,STL,RB,23.0,16.0,16.0,110.0,90.0,0.0,0.0,0.0,1528.0,13.0,346.0,806.0,3.0,415.4,0.0,4.0,2.0
Peyton Manning,IND,QB,30.0,16.0,16.0,0.0,0.0,4397.0,31.0,557.0,36.0,4.0,23.0,0.0,0.0,307.48,9.0,2.0,1.0
Frank Gore,SFO,RB,23.0,16.0,16.0,86.0,61.0,0.0,0.0,0.0,1695.0,8.0,312.0,485.0,1.0,323.0,0.0,6.0,5.0
Willie Parker,PIT,RB,26.0,16.0,16.0,42.0,31.0,0.0,0.0,0.0,1494.0,13.0,337.0,222.0,3.0,288.6,0.0,7.0,5.0
Brian Westbrook,PHI,RB,27.0,15.0,14.0,105.0,77.0,0.0,0.0,0.0,1217.0,7.0,240.0,699.0,4.0,330.6,0.0,2.0,2.0
Marvin Harrison,IND,WR,34.0,16.0,16.0,148.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,1366.0,12.0,301.6,0.0,1.0,1.0
Tiki Barber,NYG,RB,31.0,16.0,16.0,75.0,58.0,0.0,0.0,0.0,1662.0,5.0,327.0,465.0,0.0,298.7,0.0,3.0,1.0
Terrell Owens,DAL,WR,33.0,16.0,15.0,150.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,1180.0,13.0,281.0,0.0,0.0,0.0
Michael Vick,ATL,QB,26.0,16.0,16.0,1.0,1.0,2474.0,20.0,388.0,1039.0,2.0,123.0,1.0,0.0,263.96,13.0,9.0,3.0
Drew Brees,NOR,QB,27.0,16.0,16.0,0.0,0.0,4418.0,26.0,554.0,32.0,0.0,42.0,0.0,0.0,255.92,11.0,8.0,3.0
Reggie Wayne,IND,WR,28.0,16.0,16.0,137.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.0,9.0,271.0,0.0,1.0,0.0
Maurice Jones-Drew,JAX,RB,21.0,16.0,1.0,62.0,46.0,0.0,0.0,0.0,941.0,13.0,166.0,436.0,2.0,271.7,0.0,1.0,1.0
Marc Bulger,STL,QB,29.0,16.0,16.0,0.0,0.0,4301.0,24.0,588.0,44.0,0.0,18.0,0.0,0.0,250.44,8.0,6.0,3.0
Antonio Gates,SDG,TE,26.0,16.0,16.0,120.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,924.0,9.0,217.4,0.0,0.0,0.0
Chad Johnson,CIN,WR,28.0,16.0,16.0,152.0,87.0,0.0,0.0,0.0,24.0,0.0,6.0,1369.0,7.0,266.29999999999995,0.0,1.0,1.0
Donald Driver,GNB,WR,31.0,16.0,16.0,173.0,92.0,0.0,0.0,0.0,16.0,0.0,7.0,1295.0,8.0,271.1,0.0,1.0,0.0
Torry Holt,STL,WR,30.0,16.0,16.0,179.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,1188.0,10.0,269.8,0.0,2.0,1.0
Lee Evans,BUF,WR,25.0,16.0,15.0,137.0,82.0,0.0,0.0,1.0,0.0,0.0,0.0,1292.0,8.0,257.2,0.0,1.0,1.0
Carson Palmer,CIN,QB,27.0,16.0,16.0,0.0,0.0,4035.0,28.0,520.0,37.0,0.0,26.0,0.0,0.0,237.1,13.0,15.0,7.0
Reggie Bush,NOR,WR,21.0,16.0,8.0,121.0,88.0,0.0,0.0,1.0,565.0,6.0,155.0,742.0,2.0,260.7,1.0,2.0,2.0
Steve Smith,CAR,WR,27.0,14.0,14.0,139.0,83.0,0.0,0.0,0.0,61.0,1.0,8.0,1166.0,8.0,259.7,0.0,2.0,0.0
Javon Walker,DEN,WR,28.0,16.0,16.0,126.0,69.0,0.0,0.0,0.0,123.0,1.0,9.0,1084.0,8.0,243.7,0.0,0.0,0.0
Rudi Johnson,CIN,RB,27.0,16.0,15.0,31.0,23.0,0.0,0.0,0.0,1309.0,12.0,341.0,124.0,0.0,234.3,0.0,6.0,2.0
Roy Williams,DET,WR,25.0,16.0,16.0,151.0,82.0,0.0,0.0,0.0,2.0,0.0,2.0,1310.0,7.0,251.2,0.0,2.0,2.0
T.J. Houshmandzadeh,CIN,WR,29.0,14.0,13.0,132.0,90.0,0.0,0.0,0.0,6.0,0.0,3.0,1081.0,9.0,252.7,0.0,0.0,0.0
Alge Crumpler,ATL,TE,29.0,16.0,16.0,103.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,8.0,182.0,0.0,0.0,0.0
Jon Kitna,DET,QB,34.0,16.0,16.0,0.0,0.0,4208.0,21.0,596.0,156.0,2.0,34.0,0.0,0.0,217.92,22.0,11.0,9.0
Plaxico Burress,NYG,WR,29.0,15.0,15.0,116.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,988.0,10.0,219.8,0.0,2.0,1.0
Tony Gonzalez,KAN,TE,30.0,15.0,15.0,104.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,5.0,193.0,0.0,1.0,0.0
Darrell Jackson,SEA,WR,28.0,13.0,13.0,112.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,956.0,10.0,218.6,0.0,1.0,0.0
Tom Brady,NWE,QB,29.0,16.0,16.0,0.0,0.0,3529.0,24.0,516.0,102.0,0.0,49.0,0.0,0.0,215.36,12.0,12.0,4.0
Marques Colston,NOR,WR,23.0,14.0,12.0,115.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1038.0,8.0,221.8,0.0,0.0,0.0
Ladell Betts,WAS,RB,27.0,16.0,9.0,64.0,53.0,0.0,0.0,0.0,1154.0,4.0,245.0,445.0,1.0,236.9,0.0,6.0,3.0
Todd Heap,BAL,TE,26.0,16.0,16.0,116.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,765.0,6.0,185.5,0.0,0.0,0.0
Joey Galloway,TAM,WR,35.0,16.0,14.0,143.0,62.0,0.0,0.0,0.0,9.0,0.0,2.0,1057.0,7.0,210.6,0.0,0.0,0.0
Joseph Addai,IND,RB,23.0,16.0,0.0,50.0,40.0,0.0,0.0,0.0,1081.0,7.0,226.0,325.0,1.0,226.6,0.0,2.0,1.0
Chris Cooley,WAS,TE,24.0,16.0,16.0,95.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,734.0,6.0,166.4,0.0,0.0,0.0
Laveranues Coles,NYJ,WR,29.0,16.0,16.0,152.0,91.0,0.0,0.0,0.0,14.0,0.0,2.0,1098.0,6.0,238.2,0.0,1.0,0.0
Anquan Boldin,ARI,WR,26.0,16.0,16.0,152.0,83.0,0.0,0.0,0.0,28.0,0.0,5.0,1203.0,4.0,230.1,0.0,1.0,0.0
Andre Johnson,HOU,WR,25.0,16.0,16.0,163.0,103.0,0.0,0.0,0.0,14.0,0.0,3.0,1147.0,5.0,249.1,0.0,1.0,0.0
Chester Taylor,MIN,RB,27.0,15.0,15.0,51.0,42.0,0.0,0.0,0.0,1216.0,6.0,303.0,288.0,0.0,222.4,0.0,5.0,3.0
Deuce McAllister,NOR,RB,28.0,15.0,13.0,36.0,30.0,0.0,0.0,0.0,1057.0,10.0,244.0,198.0,0.0,213.5,0.0,3.0,1.0
Mike Furrey,DET,WR,29.0,16.0,14.0,146.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,1086.0,6.0,240.6,0.0,1.0,1.0
Terry Glenn,DAL,WR,32.0,15.0,14.0,111.0,70.0,0.0,0.0,0.0,11.0,0.0,3.0,1047.0,6.0,211.8,0.0,0.0,0.0
Kellen Winslow,CLE,TE,23.0,16.0,16.0,120.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,875.0,3.0,194.5,0.0,1.0,0.0
Jeremy Shockey,NYG,TE,26.0,15.0,15.0,115.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,7.0,170.3,0.0,0.0,0.0
Marion Barber,DAL,RB,23.0,16.0,1.0,32.0,23.0,0.0,0.0,0.0,654.0,14.0,135.0,196.0,2.0,204.0,0.0,0.0,0.0
Ahman Green,GNB,RB,29.0,14.0,14.0,63.0,46.0,0.0,0.0,0.0,1059.0,5.0,266.0,373.0,1.0,221.2,0.0,4.0,2.0
Philip Rivers,SDG,QB,25.0,16.0,16.0,0.0,0.0,3388.0,22.0,460.0,49.0,0.0,48.0,0.0,0.0,206.42,9.0,8.0,2.0
Reggie Brown,PHI,WR,25.0,16.0,15.0,88.0,46.0,0.0,0.0,0.0,24.0,1.0,3.0,816.0,8.0,184.0,0.0,0.0,0.0
Jamal Lewis,BAL,RB,27.0,16.0,16.0,26.0,18.0,0.0,0.0,0.0,1132.0,9.0,314.0,115.0,0.0,192.7,0.0,4.0,2.0
Hines Ward,PIT,WR,30.0,14.0,14.0,126.0,74.0,0.0,0.0,0.0,30.0,0.0,2.0,975.0,6.0,210.5,0.0,2.0,0.0
Vince Young,TEN,QB,23.0,15.0,13.0,0.0,0.0,2199.0,12.0,357.0,552.0,7.0,83.0,0.0,0.0,201.16,13.0,12.0,3.0
Desmond Clark,CHI,TE,29.0,16.0,16.0,80.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,626.0,6.0,143.6,0.0,0.0,0.0
Jerricho Cotchery,NYJ,WR,24.0,16.0,16.0,125.0,82.0,0.0,0.0,0.0,25.0,0.0,5.0,961.0,6.0,216.6,0.0,0.0,0.0
Fred Taylor,JAX,RB,30.0,15.0,15.0,28.0,23.0,0.0,0.0,0.0,1146.0,5.0,231.0,242.0,1.0,195.8,0.0,3.0,1.0
Corey Dillon,NWE,RB,32.0,16.0,13.0,16.0,15.0,0.0,0.0,0.0,812.0,13.0,199.0,147.0,0.0,184.9,0.0,2.0,2.0
Edgerrin James,ARI,RB,28.0,16.0,16.0,61.0,38.0,0.0,0.0,0.0,1159.0,6.0,337.0,217.0,0.0,205.6,0.0,3.0,3.0
Travis Henry,TEN,RB,28.0,14.0,13.0,25.0,18.0,0.0,0.0,0.0,1211.0,7.0,270.0,78.0,0.0,186.9,0.0,3.0,1.0
Thomas Jones,CHI,RB,28.0,16.0,16.0,47.0,36.0,-4.0,0.0,1.0,1210.0,6.0,296.0,154.0,0.0,206.24,0.0,1.0,1.0
Donovan McNabb,PHI,QB,30.0,10.0,10.0,0.0,0.0,2647.0,18.0,316.0,212.0,3.0,32.0,0.0,0.0,201.08,6.0,3.0,2.0
Larry Fitzgerald,ARI,WR,23.0,13.0,13.0,111.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,946.0,6.0,199.6,0.0,0.0,0.0
Isaac Bruce,STL,WR,34.0,16.0,13.0,126.0,74.0,0.0,0.0,1.0,0.0,0.0,0.0,1098.0,3.0,201.8,0.0,0.0,0.0
L.J. Smith,PHI,TE,26.0,16.0,15.0,75.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,611.0,5.0,141.1,0.0,0.0,0.0
Kevin Jones,DET,RB,24.0,12.0,12.0,78.0,61.0,0.0,0.0,0.0,689.0,6.0,181.0,520.0,2.0,219.9,0.0,5.0,5.0
Brett Favre,GNB,QB,37.0,16.0,16.0,0.0,0.0,3885.0,18.0,613.0,29.0,1.0,23.0,0.0,0.0,184.3,18.0,8.0,8.0
