Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Tom Brady,NWE,QB,30.0,16.0,16.0,0.0,0.0,4806.0,50.0,578.0,98.0,2.0,37.0,0.0,0.0,390.04,8.0,6.0,4.0
LaDainian Tomlinson,SDG,RB,28.0,16.0,16.0,86.0,60.0,17.0,1.0,1.0,1474.0,15.0,315.0,475.0,3.0,367.58,0.0,0.0,0.0
Randy Moss,NWE,WR,30.0,16.0,16.0,160.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,1493.0,23.0,385.3,0.0,0.0,0.0
Brian Westbrook,PHI,RB,28.0,15.0,15.0,118.0,90.0,0.0,0.0,0.0,1333.0,7.0,278.0,771.0,5.0,368.4,0.0,2.0,2.0
Adrian Peterson,MIN,RB,22.0,14.0,9.0,28.0,19.0,0.0,0.0,0.0,1341.0,12.0,238.0,268.0,1.0,251.9,0.0,4.0,3.0
Terrell Owens,DAL,WR,34.0,15.0,15.0,141.0,81.0,0.0,0.0,0.0,5.0,0.0,1.0,1355.0,15.0,307.0,0.0,0.0,0.0
Braylon Edwards,CLE,WR,24.0,16.0,16.0,154.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,1289.0,16.0,300.9,0.0,3.0,2.0
Clinton Portis,WAS,RB,26.0,16.0,16.0,60.0,47.0,15.0,1.0,1.0,1262.0,11.0,325.0,389.0,0.0,272.7,0.0,6.0,5.0
Joseph Addai,IND,RB,24.0,15.0,15.0,48.0,41.0,0.0,0.0,0.0,1072.0,12.0,261.0,364.0,3.0,274.6,0.0,0.0,0.0
Reggie Wayne,IND,WR,29.0,16.0,16.0,156.0,104.0,0.0,0.0,0.0,4.0,0.0,1.0,1510.0,10.0,309.4,0.0,3.0,3.0
Jamal Lewis,CLE,RB,28.0,15.0,15.0,39.0,30.0,0.0,0.0,0.0,1304.0,9.0,298.0,248.0,2.0,247.2,0.0,4.0,2.0
Tony Romo,DAL,QB,27.0,16.0,16.0,0.0,0.0,4211.0,36.0,520.0,129.0,2.0,31.0,0.0,0.0,295.34,19.0,10.0,2.0
Larry Fitzgerald,ARI,WR,24.0,15.0,15.0,167.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1409.0,10.0,294.9,0.0,3.0,3.0
Jason Witten,DAL,TE,25.0,16.0,16.0,141.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,1145.0,7.0,250.5,0.0,1.0,1.0
Chad Johnson,CIN,WR,29.0,16.0,16.0,161.0,93.0,0.0,0.0,0.0,47.0,0.0,6.0,1440.0,8.0,287.7,0.0,2.0,1.0
Antonio Gates,SDG,TE,27.0,16.0,16.0,117.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,984.0,9.0,227.4,0.0,0.0,0.0
Tony Gonzalez,KAN,TE,31.0,16.0,16.0,153.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,1172.0,5.0,246.2,0.0,0.0,0.0
T.J. Houshmandzadeh,CIN,WR,30.0,16.0,15.0,169.0,112.0,0.0,0.0,0.0,14.0,0.0,5.0,1143.0,12.0,297.7,0.0,2.0,1.0
Marion Barber,DAL,RB,24.0,16.0,0.0,54.0,44.0,0.0,0.0,0.0,975.0,10.0,204.0,282.0,2.0,241.7,0.0,3.0,0.0
Kellen Winslow,CLE,TE,24.0,16.0,14.0,148.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,1106.0,5.0,220.6,0.0,2.0,1.0
Marques Colston,NOR,WR,24.0,16.0,14.0,143.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,1202.0,11.0,282.2,0.0,1.0,1.0
Peyton Manning,IND,QB,31.0,16.0,16.0,0.0,0.0,4040.0,31.0,515.0,-5.0,3.0,20.0,0.0,0.0,273.1,14.0,6.0,1.0
Willis McGahee,BAL,RB,26.0,15.0,15.0,49.0,43.0,0.0,0.0,0.0,1207.0,7.0,294.0,231.0,1.0,228.8,0.0,4.0,3.0
Brandon Marshall,DEN,WR,23.0,16.0,16.0,170.0,102.0,0.0,0.0,0.0,57.0,0.0,5.0,1325.0,7.0,280.2,0.0,3.0,1.0
Frank Gore,SFO,RB,24.0,15.0,15.0,69.0,53.0,0.0,0.0,0.0,1102.0,5.0,260.0,436.0,1.0,236.8,0.0,4.0,3.0
Plaxico Burress,NYG,WR,30.0,16.0,16.0,141.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1025.0,12.0,244.5,0.0,0.0,0.0
Dallas Clark,IND,TE,28.0,15.0,15.0,101.0,58.0,0.0,0.0,0.0,29.0,0.0,2.0,616.0,11.0,188.5,0.0,0.0,0.0
Edgerrin James,ARI,RB,29.0,16.0,16.0,39.0,24.0,0.0,0.0,0.0,1222.0,7.0,324.0,204.0,0.0,208.6,0.0,5.0,0.0
Chris Cooley,WAS,TE,25.0,16.0,16.0,110.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,786.0,8.0,192.6,0.0,1.0,0.0
Earnest Graham,TAM,RB,27.0,15.0,10.0,69.0,49.0,0.0,0.0,0.0,898.0,10.0,222.0,324.0,0.0,229.2,0.0,1.0,1.0
Ben Roethlisberger,PIT,QB,25.0,15.0,15.0,0.0,0.0,3154.0,32.0,404.0,204.0,2.0,35.0,0.0,0.0,258.56,11.0,9.0,3.0
Drew Brees,NOR,QB,28.0,16.0,16.0,2.0,2.0,4423.0,28.0,652.0,52.0,1.0,23.0,10.0,0.0,259.11999999999995,18.0,9.0,4.0
Wes Welker,NWE,WR,26.0,16.0,13.0,145.0,112.0,0.0,0.0,0.0,34.0,0.0,4.0,1175.0,8.0,280.9,0.0,3.0,0.0
Marshawn Lynch,BUF,RB,21.0,13.0,13.0,26.0,18.0,8.0,1.0,1.0,1115.0,7.0,280.0,184.0,0.0,192.22,0.0,2.0,1.0
Greg Jennings,GNB,WR,24.0,13.0,13.0,84.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,920.0,12.0,217.0,0.0,1.0,0.0
Torry Holt,STL,WR,31.0,16.0,16.0,149.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,1189.0,7.0,253.9,0.0,2.0,0.0
Matt Hasselbeck,SEA,QB,32.0,16.0,16.0,0.0,0.0,3966.0,28.0,562.0,89.0,0.0,39.0,0.0,0.0,247.54,12.0,9.0,4.0
Maurice Jones-Drew,JAX,RB,22.0,15.0,0.0,55.0,40.0,0.0,0.0,0.0,768.0,9.0,167.0,407.0,0.0,207.5,0.0,2.0,2.0
Derek Anderson,CLE,QB,24.0,16.0,15.0,0.0,0.0,3787.0,29.0,527.0,70.0,3.0,32.0,0.0,0.0,250.48,19.0,5.0,2.0
Steven Jackson,STL,RB,24.0,12.0,12.0,52.0,38.0,2.0,1.0,1.0,1002.0,5.0,237.0,271.0,1.0,201.38,0.0,5.0,2.0
Roddy White,ATL,WR,26.0,16.0,15.0,137.0,83.0,0.0,0.0,0.0,-2.0,0.0,1.0,1202.0,6.0,235.0,0.0,3.0,2.0
LenDale White,TEN,RB,23.0,16.0,16.0,31.0,20.0,0.0,0.0,0.0,1110.0,7.0,303.0,114.0,0.0,174.4,0.0,5.0,5.0
Brett Favre,GNB,QB,38.0,16.0,16.0,0.0,0.0,4155.0,28.0,535.0,12.0,0.0,29.0,0.0,0.0,243.4,15.0,9.0,3.0
Bobby Engram,SEA,WR,34.0,16.0,13.0,134.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,1147.0,6.0,242.7,0.0,1.0,1.0
Willie Parker,PIT,RB,27.0,15.0,15.0,31.0,23.0,0.0,0.0,1.0,1316.0,2.0,321.0,164.0,0.0,177.0,0.0,4.0,3.0
Steve Smith,CAR,WR,28.0,15.0,15.0,148.0,87.0,0.0,0.0,0.0,66.0,0.0,9.0,1002.0,7.0,235.8,0.0,1.0,0.0
Ryan Grant,GNB,RB,25.0,15.0,7.0,37.0,30.0,0.0,0.0,0.0,956.0,8.0,188.0,145.0,0.0,186.1,0.0,1.0,1.0
Kevin Curtis,PHI,WR,29.0,16.0,16.0,135.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,1110.0,6.0,224.0,0.0,0.0,0.0
Santonio Holmes,PIT,WR,23.0,13.0,13.0,85.0,52.0,0.0,0.0,0.0,17.0,0.0,5.0,942.0,8.0,195.9,0.0,2.0,0.0
