Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att.1,Yds.1,Rec,Yds.2,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
Speedy Thomas,CIN,WR,24.0,12.0,8.0,0.0,0.0,0.0,0.0,2.0,-1.0,22.0,327.0,14.86,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,327.0,2.0,64.60000000000001
Pete Beathard,STL,QB,29.0,9.0,5.0,60.0,141.0,1030.0,12.0,4.0,29.0,0.0,0.0,0.0,2.0,0.0,1030.0,6.0,141.0,29.0,0.0,4.0,0.0,0.0,40.1
Gary Cuozzo,MIN,QB,30.0,8.0,8.0,75.0,168.0,842.0,8.0,15.0,24.0,0.0,0.0,0.0,2.0,0.0,842.0,6.0,168.0,24.0,0.0,15.0,0.0,0.0,40.08
Ken Burrough,HOU,WR,23.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,370.0,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,1.0,68.0
Dick Witcher,SFO,WR,27.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,250.0,13.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,3.0,61.0
Warren Bankston,PIT,RB,24.0,14.0,2.0,0.0,0.0,0.0,0.0,70.0,274.0,17.0,148.0,8.71,5.0,0.0,0.0,0.0,0.0,274.0,0.0,70.0,148.0,0.0,49.2
Mike Ditka,DAL,TE,32.0,14.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,30.0,360.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,360.0,1.0,72.2
Tucker Frederickson,NYG,RB,28.0,10.0,8.0,0.0,0.0,0.0,0.0,64.0,242.0,21.0,114.0,5.43,1.0,0.0,0.0,0.0,0.0,242.0,0.0,64.0,114.0,1.0,60.6
Dwight Harrison,DEN,WR,23.0,10.0,4.0,0.0,0.0,0.0,0.0,5.0,36.0,19.0,265.0,13.95,1.0,0.0,0.0,0.0,0.0,36.0,0.0,5.0,265.0,2.0,59.1
Bob Klein,RAM,TE,24.0,14.0,14.0,0.0,0.0,0.0,0.0,3.0,21.0,14.0,160.0,11.43,0.0,0.0,0.0,0.0,0.0,21.0,0.0,3.0,160.0,4.0,56.1
Pettis Norman,SDG,TE,32.0,14.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,27.0,358.0,13.26,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,358.0,1.0,68.89999999999999
Cyril Pinder,CHI,RB,25.0,12.0,3.0,0.0,0.0,0.0,0.0,63.0,311.0,10.0,51.0,5.1,0.0,0.0,0.0,0.0,0.0,311.0,1.0,63.0,51.0,0.0,52.2
Gary Collins,CLE,WR,31.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,231.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,3.0,56.1
Eric Crabtree,2TM,WR,27.0,13.0,11.0,0.0,0.0,0.0,0.0,3.0,12.0,23.0,222.0,9.65,0.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,222.0,3.0,64.4
Doug Dressler,CIN,RB,23.0,14.0,4.0,0.0,0.0,0.0,0.0,54.0,204.0,19.0,145.0,7.63,1.0,0.0,0.0,0.0,0.0,204.0,1.0,54.0,145.0,0.0,57.9
Tom Mitchell,BAL,TE,27.0,14.0,9.0,0.0,0.0,0.0,0.0,2.0,9.0,33.0,402.0,12.18,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,402.0,0.0,74.10000000000001
Jerry LeVias,SDG,WR,25.0,14.0,4.0,0.0,0.0,0.0,0.0,4.0,73.0,21.0,265.0,12.62,3.0,0.0,0.0,0.0,0.0,73.0,0.0,4.0,265.0,1.0,54.8
Ron Sellers,NWE,WR,24.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,222.0,15.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,3.0,54.2
Mercury Morris,MIA,RB,24.0,14.0,3.0,0.0,0.0,0.0,0.0,57.0,315.0,5.0,16.0,3.2,1.0,0.0,0.0,0.0,0.0,315.0,1.0,57.0,16.0,0.0,42.1
Jim Otis,KAN,RB,23.0,13.0,0.0,0.0,0.0,0.0,0.0,49.0,184.0,13.0,81.0,6.23,1.0,0.0,0.0,0.0,0.0,184.0,0.0,49.0,81.0,2.0,49.5
Steve Ramsey,DEN,QB,23.0,9.0,5.0,84.0,178.0,1120.0,13.0,3.0,6.0,0.0,0.0,0.0,2.0,0.0,1120.0,5.0,178.0,6.0,0.0,3.0,0.0,0.0,35.4
Johnny Roland,STL,RB,28.0,13.0,5.0,0.0,0.0,0.0,0.0,78.0,278.0,15.0,108.0,7.2,4.0,0.0,0.0,0.0,0.0,278.0,0.0,78.0,108.0,0.0,45.6
Oscar Reed,MIN,RB,27.0,13.0,3.0,0.0,0.0,0.0,0.0,50.0,182.0,15.0,138.0,9.2,1.0,0.0,0.0,0.0,0.0,182.0,1.0,50.0,138.0,0.0,51.0
Tom Beer,NWE,TE,27.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,191.0,15.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,3.0,49.1
Don McCauley,BAL,RB,22.0,13.0,0.0,0.0,0.0,0.0,0.0,58.0,246.0,3.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,246.0,2.0,58.0,6.0,0.0,40.2
Don Herrmann,NYG,WR,24.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,297.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.0,1.0,62.7
Kent Nix,CHI,QB,27.0,8.0,4.0,51.0,137.0,760.0,10.0,9.0,12.0,0.0,0.0,0.0,3.0,0.0,760.0,6.0,137.0,12.0,0.0,9.0,0.0,0.0,29.6
Bill Brown,MIN,RB,33.0,14.0,6.0,0.0,0.0,0.0,0.0,46.0,136.0,10.0,94.0,9.4,0.0,0.0,0.0,0.0,0.0,136.0,2.0,46.0,94.0,0.0,45.0
Doug Cunningham,SFO,RB,26.0,14.0,1.0,0.0,0.0,0.0,0.0,25.0,98.0,19.0,188.0,9.89,1.0,0.0,0.0,0.0,0.0,98.0,1.0,25.0,188.0,0.0,51.6
Boyd Dowler,WAS,WR,34.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,352.0,13.54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,0.0,59.2
Chip Myers,CIN,WR,26.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,286.0,10.59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.0,1.0,59.6
Gloster Richardson,DAL,WR,29.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,170.0,21.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,3.0,43.0
Dick Shiner,ATL,QB,29.0,10.0,4.0,30.0,57.0,463.0,5.0,10.0,9.0,0.0,0.0,0.0,3.0,0.0,463.0,5.0,57.0,9.0,1.0,10.0,0.0,0.0,29.419999999999995
J.D. Hill,BUF,WR,23.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,11.0,216.0,19.64,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,216.0,2.0,44.8
Larry Schreiber,SFO,RB,24.0,14.0,0.0,0.0,0.0,0.0,0.0,34.0,180.0,3.0,79.0,26.33,0.0,0.0,0.0,0.0,0.0,180.0,0.0,34.0,79.0,1.0,34.9
Roy Shivers,STL,RB,30.0,11.0,5.0,0.0,1.0,0.0,0.0,55.0,202.0,10.0,76.0,7.6,3.0,0.0,0.0,0.0,1.0,202.0,1.0,55.0,76.0,0.0,37.8
John Spilis,GNB,WR,24.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,281.0,20.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,1.0,46.1
Bob Newland,NOR,WR,23.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,319.0,15.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,52.9
Paul Robinson,CIN,RB,27.0,14.0,8.0,0.0,0.0,0.0,0.0,49.0,213.0,8.0,47.0,5.88,1.0,0.0,0.0,0.0,0.0,213.0,1.0,49.0,47.0,0.0,38.0
Johnny Unitas,BAL,QB,38.0,13.0,5.0,92.0,176.0,942.0,9.0,9.0,5.0,0.0,0.0,0.0,3.0,0.0,942.0,3.0,176.0,5.0,0.0,9.0,0.0,0.0,26.18
Tony Baker,2TM,RB,26.0,9.0,3.0,0.0,0.0,0.0,0.0,46.0,174.0,10.0,80.0,8.0,2.0,0.0,0.0,0.0,0.0,174.0,0.0,46.0,80.0,1.0,37.4
Leon Burns,SDG,RB,29.0,14.0,4.0,0.0,0.0,0.0,0.0,61.0,223.0,3.0,22.0,7.33,2.0,0.0,0.0,0.0,0.0,223.0,1.0,61.0,22.0,0.0,29.5
Joe Dawkins,2TM,RB,23.0,14.0,5.0,0.0,0.0,0.0,0.0,42.0,135.0,9.0,53.0,5.89,0.0,0.0,0.0,0.0,0.0,135.0,2.0,42.0,53.0,0.0,39.8
Al Dodd,NOR,WR,26.0,10.0,9.0,0.0,0.0,0.0,0.0,1.0,7.0,15.0,298.0,19.87,2.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,298.0,0.0,41.5
Bob Lee,MIN,QB,25.0,14.0,4.0,45.0,90.0,598.0,4.0,11.0,14.0,0.0,0.0,0.0,2.0,0.0,598.0,2.0,90.0,14.0,1.0,11.0,0.0,0.0,27.32
Drew Buie,OAK,WR,24.0,14.0,5.0,0.0,0.0,0.0,0.0,2.0,32.0,5.0,133.0,26.6,0.0,0.0,0.0,0.0,0.0,32.0,0.0,2.0,133.0,2.0,33.5
Harold Carmichael,PHI,TE,22.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,288.0,14.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,0.0,44.8
