Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Christian McCaffrey,CAR,RB,23.0,16.0,16.0,142.0,116.0,0.0,0.0,2.0,1387.0,15.0,287.0,1005.0,4.0,469.2,0.0,1.0,0.0
Lamar Jackson,BAL,QB,22.0,15.0,15.0,0.0,0.0,3127.0,36.0,401.0,1206.0,7.0,176.0,0.0,0.0,415.68,6.0,9.0,2.0
Derrick Henry,TEN,RB,25.0,15.0,15.0,24.0,18.0,0.0,0.0,0.0,1540.0,16.0,303.0,206.0,2.0,294.6,0.0,5.0,3.0
Aaron Jones,GNB,RB,25.0,16.0,16.0,68.0,49.0,0.0,0.0,0.0,1084.0,16.0,236.0,474.0,3.0,314.8,0.0,3.0,2.0
Ezekiel Elliott,DAL,RB,24.0,16.0,16.0,71.0,54.0,0.0,0.0,0.0,1357.0,12.0,301.0,420.0,2.0,311.7,0.0,3.0,2.0
Dalvin Cook,MIN,RB,24.0,14.0,14.0,63.0,53.0,0.0,0.0,0.0,1135.0,13.0,250.0,519.0,0.0,292.4,0.0,4.0,2.0
Michael Thomas,NOR,WR,26.0,16.0,15.0,185.0,149.0,0.0,0.0,0.0,-9.0,0.0,1.0,1725.0,9.0,374.6,0.0,1.0,0.0
Travis Kelce,KAN,TE,30.0,16.0,16.0,136.0,97.0,0.0,0.0,0.0,4.0,1.0,1.0,1229.0,5.0,254.3,0.0,1.0,1.0
Nick Chubb,CLE,RB,24.0,16.0,16.0,49.0,36.0,0.0,0.0,0.0,1494.0,8.0,298.0,278.0,0.0,255.2,0.0,3.0,3.0
Austin Ekeler,LAC,RB,24.0,16.0,8.0,108.0,92.0,0.0,0.0,0.0,557.0,3.0,132.0,993.0,8.0,309.0,0.0,3.0,2.0
Mark Ingram,BAL,RB,30.0,15.0,15.0,29.0,26.0,0.0,0.0,0.0,1018.0,10.0,202.0,247.0,5.0,238.5,0.0,2.0,2.0
Dak Prescott,DAL,QB,26.0,16.0,16.0,0.0,0.0,4902.0,30.0,596.0,277.0,3.0,52.0,0.0,0.0,335.7800000000001,11.0,6.0,2.0
Mark Andrews,BAL,TE,23.0,15.0,4.0,98.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,852.0,10.0,207.2,0.0,2.0,1.0
Russell Wilson,SEA,QB,31.0,16.0,16.0,0.0,0.0,4110.0,31.0,516.0,342.0,3.0,75.0,0.0,0.0,326.6,5.0,8.0,2.0
Chris Godwin,TAM,WR,23.0,14.0,14.0,121.0,86.0,0.0,0.0,0.0,8.0,0.0,1.0,1333.0,9.0,274.1,0.0,0.0,0.0
George Kittle,SFO,TE,26.0,14.0,14.0,107.0,85.0,0.0,0.0,0.0,22.0,0.0,5.0,1053.0,5.0,222.5,0.0,1.0,0.0
Deshaun Watson,HOU,QB,24.0,15.0,15.0,1.0,1.0,3852.0,26.0,495.0,413.0,7.0,82.0,6.0,1.0,318.98,12.0,10.0,3.0
Chris Carson,SEA,RB,25.0,15.0,15.0,47.0,37.0,0.0,0.0,0.0,1230.0,7.0,278.0,266.0,2.0,232.6,0.0,7.0,4.0
Darren Waller,OAK,TE,27.0,16.0,16.0,117.0,90.0,0.0,0.0,0.0,5.0,0.0,2.0,1145.0,3.0,221.0,0.0,1.0,1.0
Kenny Golladay,DET,WR,26.0,16.0,16.0,116.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1190.0,11.0,248.0,0.0,1.0,1.0
