Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Brett Favre,GNB,QB,27.0,16.0,16.0,0.0,0.0,3899.0,39.0,543.0,136.0,2.0,49.0,0.0,0.0,303.56000000000006,13.0,11.0,4.0
Terry Allen,WAS,RB,28.0,16.0,16.0,42.0,32.0,0.0,0.0,0.0,1353.0,21.0,347.0,194.0,0.0,308.7000000000001,0.0,4.0,2.0
Terrell Davis,DEN,RB,24.0,16.0,16.0,52.0,36.0,0.0,0.0,0.0,1538.0,13.0,345.0,310.0,2.0,304.8,0.0,5.0,3.0
Vinny Testaverde,BAL,QB,33.0,16.0,16.0,0.0,0.0,4177.0,33.0,549.0,188.0,2.0,34.0,0.0,0.0,277.88000000000005,19.0,9.0,7.0
Ricky Watters,PHI,RB,27.0,16.0,16.0,70.0,51.0,0.0,0.0,0.0,1411.0,13.0,353.0,444.0,0.0,304.5,0.0,5.0,5.0
Curtis Martin,NWE,RB,23.0,16.0,15.0,52.0,46.0,0.0,0.0,0.0,1152.0,14.0,316.0,333.0,3.0,290.5,0.0,4.0,3.0
Mark Brunell,JAX,QB,26.0,16.0,16.0,0.0,0.0,4367.0,19.0,557.0,396.0,3.0,80.0,0.0,0.0,262.28,20.0,14.0,3.0
Emmitt Smith,DAL,RB,27.0,15.0,15.0,57.0,47.0,0.0,0.0,0.0,1204.0,12.0,327.0,249.0,3.0,278.3,0.0,5.0,2.0
Barry Sanders,DET,RB,28.0,16.0,16.0,32.0,24.0,0.0,0.0,1.0,1553.0,11.0,307.0,147.0,0.0,254.0,1.0,4.0,2.0
Shannon Sharpe,DEN,TE,28.0,15.0,15.0,117.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,1062.0,10.0,244.2,0.0,1.0,1.0
Jeff Blake,CIN,QB,26.0,16.0,16.0,0.0,0.0,3624.0,24.0,549.0,317.0,2.0,72.0,0.0,0.0,250.66,14.0,7.0,3.0
John Elway,DEN,QB,36.0,15.0,15.0,0.0,0.0,3328.0,26.0,466.0,249.0,4.0,50.0,0.0,0.0,250.02,14.0,6.0,4.0
Jerome Bettis,PIT,RB,24.0,16.0,12.0,32.0,22.0,0.0,0.0,0.0,1431.0,11.0,320.0,122.0,0.0,237.3,0.0,7.0,3.0
Michael Jackson,BAL,WR,27.0,16.0,16.0,150.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,1201.0,14.0,280.1,0.0,0.0,0.0
Drew Bledsoe,NWE,QB,24.0,16.0,16.0,0.0,0.0,4086.0,27.0,623.0,27.0,0.0,24.0,0.0,0.0,240.14,15.0,9.0,2.0
Tony Martin,SDG,WR,31.0,16.0,16.0,167.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,1171.0,14.0,286.1,0.0,0.0,0.0
Carl Pickens,CIN,WR,26.0,16.0,16.0,174.0,100.0,12.0,0.0,1.0,2.0,0.0,2.0,1180.0,12.0,290.68,0.0,0.0,0.0
Eddie George,HOU,RB,23.0,16.0,16.0,28.0,23.0,0.0,0.0,0.0,1368.0,8.0,335.0,182.0,0.0,220.0,0.0,3.0,3.0
Jerry Rice,SFO,WR,34.0,16.0,16.0,153.0,108.0,0.0,0.0,1.0,77.0,1.0,11.0,1254.0,8.0,295.1,0.0,0.0,0.0
