Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Chris Johnson,TEN,RB,24.0,16.0,16.0,71.0,50.0,0.0,0.0,1.0,2006.0,14.0,358.0,503.0,2.0,390.9,0.0,3.0,3.0
Adrian Peterson,MIN,RB,24.0,16.0,15.0,57.0,43.0,0.0,0.0,0.0,1383.0,18.0,314.0,436.0,0.0,320.9,0.0,7.0,6.0
Maurice Jones-Drew,JAX,RB,24.0,16.0,16.0,71.0,53.0,0.0,0.0,0.0,1391.0,15.0,312.0,374.0,1.0,323.5,0.0,2.0,1.0
Aaron Rodgers,GNB,QB,26.0,16.0,16.0,0.0,0.0,4434.0,30.0,541.0,316.0,5.0,58.0,0.0,0.0,336.9600000000001,7.0,10.0,4.0
Ray Rice,BAL,RB,22.0,16.0,15.0,101.0,78.0,0.0,0.0,1.0,1339.0,7.0,254.0,702.0,1.0,326.1,0.0,3.0,2.0
Andre Johnson,HOU,WR,28.0,16.0,16.0,171.0,101.0,0.0,0.0,0.0,10.0,0.0,2.0,1569.0,9.0,312.9,0.0,1.0,0.0
Randy Moss,NWE,WR,32.0,16.0,16.0,137.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,1264.0,13.0,285.4,0.0,2.0,1.0
Frank Gore,SFO,RB,26.0,14.0,14.0,75.0,52.0,0.0,0.0,0.0,1120.0,10.0,229.0,406.0,3.0,278.6,0.0,4.0,2.0
Thomas Jones,NYJ,RB,31.0,16.0,16.0,18.0,10.0,0.0,0.0,0.0,1402.0,14.0,331.0,58.0,0.0,240.0,0.0,2.0,0.0
Miles Austin,DAL,WR,25.0,16.0,9.0,124.0,81.0,0.0,0.0,0.0,-2.0,0.0,2.0,1320.0,11.0,278.8,0.0,1.0,0.0
Vernon Davis,SFO,TE,25.0,16.0,16.0,128.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,965.0,13.0,252.5,0.0,0.0,0.0
DeSean Jackson,PHI,WR,23.0,15.0,15.0,117.0,62.0,0.0,0.0,0.0,137.0,1.0,11.0,1156.0,9.0,249.3,0.0,3.0,1.0
Dallas Clark,IND,TE,30.0,16.0,16.0,133.0,100.0,0.0,0.0,0.0,11.0,0.0,2.0,1106.0,10.0,271.70000000000005,0.0,1.0,0.0
Larry Fitzgerald,ARI,WR,26.0,16.0,16.0,153.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,1092.0,13.0,284.2,0.0,0.0,0.0
Drew Brees,NOR,QB,30.0,15.0,15.0,1.0,1.0,4388.0,34.0,514.0,33.0,2.0,22.0,-4.0,0.0,293.42,11.0,10.0,6.0
Ricky Williams,MIA,RB,32.0,16.0,7.0,53.0,35.0,0.0,0.0,1.0,1121.0,11.0,241.0,264.0,2.0,245.5,1.0,5.0,2.0
Reggie Wayne,IND,WR,31.0,16.0,16.0,149.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1264.0,10.0,284.4,1.0,0.0,0.0
Roddy White,ATL,WR,28.0,16.0,16.0,165.0,85.0,0.0,0.0,0.0,2.0,0.0,1.0,1153.0,11.0,266.5,0.0,1.0,0.0
Antonio Gates,SDG,TE,29.0,16.0,16.0,114.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,1157.0,8.0,242.7,0.0,1.0,0.0
Ryan Grant,GNB,RB,27.0,16.0,16.0,30.0,25.0,0.0,0.0,0.0,1253.0,11.0,282.0,197.0,0.0,234.0,0.0,1.0,1.0
Sidney Rice,MIN,WR,23.0,16.0,14.0,121.0,83.0,0.0,0.0,1.0,0.0,0.0,0.0,1312.0,8.0,260.2,0.0,1.0,1.0
Brandon Marshall,DEN,WR,25.0,15.0,13.0,154.0,101.0,0.0,0.0,0.0,39.0,0.0,7.0,1120.0,10.0,276.9,0.0,0.0,0.0
Fred Jackson,BUF,WR,28.0,16.0,11.0,61.0,46.0,27.0,1.0,1.0,1062.0,2.0,237.0,371.0,2.0,214.38,0.0,4.0,2.0
Vincent Jackson,SDG,WR,26.0,15.0,15.0,108.0,68.0,0.0,0.0,0.0,11.0,0.0,3.0,1167.0,9.0,239.8,0.0,0.0,0.0
Joseph Addai,IND,RB,26.0,15.0,15.0,63.0,51.0,22.0,1.0,1.0,828.0,10.0,219.0,336.0,3.0,248.28,0.0,1.0,1.0
Steven Jackson,STL,RB,26.0,15.0,15.0,75.0,51.0,0.0,0.0,0.0,1416.0,4.0,324.0,322.0,0.0,244.8,0.0,2.0,2.0
Brett Favre,MIN,QB,40.0,16.0,16.0,1.0,1.0,4202.0,33.0,531.0,7.0,0.0,9.0,-2.0,0.0,281.5800000000001,7.0,2.0,3.0
Matt Schaub,HOU,QB,28.0,16.0,16.0,0.0,0.0,4770.0,29.0,583.0,57.0,0.0,48.0,0.0,0.0,278.5,15.0,3.0,2.0
Steve Smith,NYG,WR,24.0,16.0,15.0,157.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,1220.0,7.0,271.0,0.0,0.0,0.0
Wes Welker,NWE,WR,28.0,14.0,13.0,162.0,123.0,0.0,0.0,0.0,36.0,0.0,5.0,1348.0,4.0,285.4000000000001,0.0,2.0,0.0
Brent Celek,PHI,TE,24.0,16.0,15.0,112.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,971.0,8.0,221.1,0.0,0.0,0.0
Jonathan Stewart,CAR,RB,22.0,16.0,3.0,26.0,18.0,0.0,0.0,0.0,1133.0,10.0,221.0,139.0,1.0,207.2,0.0,3.0,2.0
Marques Colston,NOR,WR,26.0,16.0,14.0,107.0,70.0,0.0,0.0,0.0,6.0,0.0,1.0,1074.0,9.0,230.0,0.0,2.0,1.0
Chad Johnson,CIN,0,31.0,16.0,15.0,128.0,72.0,0.0,0.0,0.0,32.0,0.0,3.0,1047.0,9.0,229.9,0.0,2.0,2.0
Tony Romo,DAL,QB,29.0,16.0,16.0,0.0,0.0,4483.0,26.0,550.0,105.0,1.0,35.0,0.0,0.0,273.82,9.0,6.0,4.0
Jamaal Charles,KAN,RB,23.0,15.0,10.0,55.0,40.0,0.0,0.0,0.0,1120.0,7.0,190.0,297.0,1.0,223.7,0.0,4.0,3.0
Peyton Manning,IND,QB,33.0,16.0,16.0,0.0,0.0,4500.0,33.0,571.0,-13.0,0.0,19.0,0.0,0.0,278.7,16.0,2.0,0.0
