Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att.1,Yds.1,Rec,Yds.2,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
Chuck Foreman,MIN,RB,26.0,14.0,14.0,0.0,0.0,0.0,0.0,278.0,1155.0,55.0,567.0,10.31,7.0,0.0,0.0,0.0,0.0,1155.0,13.0,278.0,567.0,1.0,297.2
Cliff Branch,OAK,WR,28.0,14.0,14.0,0.0,0.0,0.0,0.0,3.0,12.0,46.0,1111.0,24.15,0.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,1111.0,12.0,230.3
Walter Payton,CHI,RB,22.0,14.0,14.0,0.0,0.0,0.0,0.0,311.0,1390.0,15.0,149.0,9.93,10.0,0.0,0.0,0.0,0.0,1390.0,13.0,311.0,149.0,0.0,226.9
O.J. Simpson,BUF,RB,29.0,14.0,13.0,0.0,0.0,0.0,0.0,290.0,1503.0,22.0,259.0,11.77,6.0,0.0,0.0,0.0,0.0,1503.0,8.0,290.0,259.0,1.0,240.2
Roger Carr,BAL,WR,24.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,1112.0,25.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1112.0,11.0,220.2
Bert Jones,BAL,QB,25.0,14.0,14.0,207.0,343.0,3104.0,9.0,38.0,214.0,0.0,0.0,0.0,4.0,0.0,3104.0,24.0,343.0,214.0,2.0,38.0,0.0,0.0,227.56
Lydell Mitchell,BAL,RB,27.0,14.0,14.0,0.0,0.0,0.0,0.0,289.0,1200.0,60.0,555.0,9.25,4.0,0.0,0.0,0.0,0.0,1200.0,5.0,289.0,555.0,3.0,275.5
Lawrence McCutcheon,RAM,RB,26.0,14.0,14.0,0.0,0.0,0.0,0.0,291.0,1168.0,28.0,305.0,10.89,10.0,0.0,0.0,0.0,0.0,1168.0,9.0,291.0,305.0,2.0,221.3
Franco Harris,PIT,RB,26.0,14.0,14.0,0.0,0.0,0.0,0.0,289.0,1128.0,23.0,151.0,6.57,8.0,0.0,0.0,0.0,0.0,1128.0,14.0,289.0,151.0,0.0,218.9
Steve Grogan,NWE,QB,23.0,14.0,14.0,145.0,302.0,1903.0,20.0,60.0,397.0,0.0,0.0,0.0,6.0,0.0,1903.0,18.0,302.0,397.0,12.0,60.0,0.0,0.0,207.82
Delvin Williams,SFO,RB,25.0,13.0,13.0,1.0,1.0,18.0,0.0,248.0,1203.0,27.0,283.0,10.48,6.0,0.0,18.0,0.0,1.0,1203.0,7.0,248.0,283.0,2.0,218.32
Sammy White,MIN,WR,22.0,14.0,14.0,0.0,0.0,0.0,0.0,5.0,-10.0,51.0,906.0,17.76,3.0,0.0,0.0,0.0,0.0,-10.0,0.0,5.0,906.0,10.0,194.6
Charlie Joiner,SDG,WR,29.0,14.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,50.0,1056.0,21.12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1056.0,7.0,197.6
Dave Casper,OAK,TE,24.0,13.0,13.0,0.0,0.0,0.0,0.0,1.0,5.0,53.0,691.0,13.04,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,691.0,10.0,182.6
Mike Thomas,WAS,RB,23.0,13.0,12.0,0.0,0.0,0.0,0.0,254.0,1101.0,28.0,290.0,10.36,7.0,0.0,0.0,0.0,0.0,1101.0,5.0,254.0,290.0,4.0,207.1
Bob Chandler,BUF,WR,27.0,14.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,61.0,824.0,13.51,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,824.0,10.0,197.4
Walter White,KAN,TE,25.0,14.0,5.0,0.0,0.0,0.0,0.0,2.0,15.0,47.0,808.0,17.19,0.0,0.0,0.0,0.0,0.0,15.0,0.0,2.0,808.0,7.0,171.3
Ken Burrough,HOU,WR,28.0,14.0,14.0,0.0,0.0,0.0,0.0,3.0,22.0,51.0,932.0,18.27,0.0,0.0,0.0,0.0,0.0,22.0,0.0,3.0,932.0,7.0,188.4
Otis Armstrong,DEN,RB,26.0,14.0,14.0,0.0,0.0,0.0,0.0,247.0,1008.0,39.0,457.0,11.72,4.0,0.0,0.0,0.0,0.0,1008.0,5.0,247.0,457.0,1.0,213.5
Ken Stabler,OAK,QB,31.0,12.0,12.0,194.0,291.0,2737.0,17.0,7.0,-2.0,0.0,0.0,0.0,5.0,0.0,2737.0,27.0,291.0,-2.0,1.0,7.0,0.0,0.0,179.28000000000003
Drew Pearson,DAL,WR,25.0,14.0,14.0,1.0,1.0,39.0,0.0,2.0,20.0,58.0,806.0,13.9,1.0,0.0,39.0,1.0,1.0,20.0,0.0,2.0,806.0,6.0,180.16
Fran Tarkenton,MIN,QB,36.0,13.0,13.0,255.0,412.0,2961.0,8.0,27.0,45.0,0.0,0.0,0.0,4.0,0.0,2961.0,17.0,412.0,45.0,1.0,27.0,0.0,0.0,172.94
Greg Pruitt,CLE,RB,25.0,14.0,13.0,2.0,3.0,39.0,0.0,209.0,1000.0,45.0,341.0,7.58,7.0,0.0,39.0,1.0,3.0,1000.0,4.0,209.0,341.0,1.0,200.66
Roger Staubach,DAL,QB,34.0,14.0,14.0,208.0,369.0,2715.0,11.0,43.0,184.0,0.0,0.0,0.0,4.0,0.0,2715.0,14.0,369.0,184.0,3.0,43.0,0.0,0.0,171.0
Reggie Rucker,CLE,WR,29.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,30.0,49.0,676.0,13.8,1.0,0.0,0.0,0.0,0.0,30.0,0.0,2.0,676.0,8.0,165.6
Ron Jessie,RAM,WR,28.0,14.0,14.0,0.0,0.0,0.0,0.0,4.0,37.0,34.0,779.0,22.91,1.0,0.0,0.0,0.0,0.0,37.0,0.0,4.0,779.0,6.0,149.6
Isaac Curtis,CIN,WR,26.0,14.0,14.0,0.0,0.0,0.0,0.0,3.0,29.0,41.0,766.0,18.68,1.0,0.0,0.0,0.0,0.0,29.0,0.0,3.0,766.0,6.0,154.5
Andy Johnson,NWE,RB,24.0,14.0,13.0,0.0,2.0,0.0,0.0,169.0,699.0,29.0,343.0,11.83,5.0,0.0,0.0,0.0,2.0,699.0,6.0,169.0,343.0,4.0,183.2
Rocky Bleier,PIT,RB,30.0,14.0,14.0,0.0,0.0,0.0,0.0,220.0,1036.0,24.0,294.0,12.25,4.0,0.0,0.0,0.0,0.0,1036.0,5.0,220.0,294.0,0.0,179.0
Ray Jarvis,DET,WR,27.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,822.0,21.08,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,822.0,5.0,147.2
Frank Grant,WAS,WR,26.0,14.0,14.0,0.0,0.0,0.0,0.0,1.0,-9.0,50.0,818.0,16.36,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,1.0,818.0,5.0,160.9
MacArthur Lane,KAN,RB,34.0,14.0,14.0,0.0,0.0,0.0,0.0,162.0,542.0,66.0,686.0,10.39,9.0,0.0,0.0,0.0,0.0,542.0,5.0,162.0,686.0,1.0,206.8
