Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Shaun Alexander,SEA,RB,27.0,16.0,16.0,38.0,23.0,0.0,0.0,0.0,1696.0,16.0,353.0,170.0,4.0,323.6,0.0,5.0,3.0
Daunte Culpepper,MIN,QB,27.0,16.0,16.0,0.0,0.0,4717.0,39.0,548.0,406.0,2.0,88.0,0.0,0.0,365.28,11.0,9.0,5.0
Tiki Barber,NYG,RB,29.0,16.0,14.0,79.0,52.0,0.0,0.0,0.0,1518.0,13.0,322.0,578.0,2.0,347.6,0.0,5.0,2.0
LaDainian Tomlinson,SDG,RB,25.0,15.0,15.0,66.0,53.0,38.0,0.0,2.0,1335.0,17.0,339.0,441.0,1.0,336.12,0.0,6.0,2.0
Peyton Manning,IND,QB,28.0,16.0,16.0,0.0,0.0,4557.0,49.0,497.0,38.0,0.0,25.0,0.0,0.0,360.08,10.0,5.0,1.0
Curtis Martin,NYJ,RB,31.0,16.0,16.0,49.0,41.0,0.0,0.0,0.0,1697.0,12.0,371.0,245.0,2.0,319.2,0.0,2.0,0.0
Muhsin Muhammad,CAR,WR,31.0,16.0,16.0,160.0,93.0,0.0,0.0,0.0,15.0,0.0,3.0,1405.0,16.0,329.0,0.0,3.0,1.0
Antonio Gates,SDG,TE,24.0,15.0,15.0,114.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,964.0,13.0,255.4,0.0,0.0,0.0
Domanick Williams,HOU,RB,24.0,15.0,15.0,84.0,68.0,0.0,0.0,0.0,1188.0,13.0,302.0,588.0,1.0,323.6,0.0,4.0,3.0
Edgerrin James,IND,RB,26.0,16.0,16.0,60.0,51.0,0.0,0.0,0.0,1548.0,9.0,334.0,483.0,0.0,304.1,0.0,6.0,2.0
Tony Gonzalez,KAN,TE,28.0,16.0,16.0,148.0,102.0,0.0,0.0,0.0,5.0,0.0,1.0,1258.0,7.0,270.3,0.0,0.0,0.0
Corey Dillon,NWE,RB,30.0,15.0,14.0,21.0,15.0,0.0,0.0,0.0,1635.0,12.0,345.0,103.0,1.0,258.8,0.0,5.0,4.0
Javon Walker,GNB,WR,26.0,16.0,12.0,144.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,1382.0,12.0,295.2,0.0,2.0,2.0
Joe Horn,NOR,WR,32.0,16.0,16.0,153.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,1399.0,11.0,299.9,0.0,0.0,0.0
Terrell Owens,PHI,WR,31.0,14.0,14.0,127.0,77.0,0.0,0.0,0.0,-5.0,0.0,3.0,1200.0,14.0,278.5,0.0,2.0,1.0
Marvin Harrison,IND,WR,32.0,16.0,16.0,139.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,1113.0,15.0,285.3,0.0,1.0,1.0
Donovan McNabb,PHI,QB,28.0,15.0,15.0,0.0,0.0,3875.0,31.0,469.0,220.0,3.0,41.0,0.0,0.0,291.0,8.0,8.0,6.0
Torry Holt,STL,WR,28.0,16.0,16.0,135.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,1372.0,10.0,291.2,0.0,3.0,0.0
Drew Bennett,TEN,WR,26.0,16.0,16.0,144.0,80.0,26.0,1.0,1.0,12.0,0.0,1.0,1247.0,11.0,276.94,0.0,3.0,0.0
Rudi Johnson,CIN,RB,25.0,16.0,16.0,28.0,15.0,0.0,0.0,0.0,1454.0,12.0,361.0,84.0,0.0,232.8,0.0,4.0,4.0
Jason Witten,DAL,TE,22.0,16.0,15.0,122.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,980.0,6.0,219.0,0.0,2.0,1.0
Reggie Wayne,IND,WR,26.0,16.0,16.0,115.0,77.0,0.0,0.0,0.0,-4.0,0.0,1.0,1210.0,12.0,269.6,0.0,0.0,0.0
Chad Johnson,CIN,WR,26.0,16.0,16.0,170.0,95.0,0.0,0.0,0.0,39.0,0.0,4.0,1274.0,9.0,280.29999999999995,0.0,1.0,0.0
Willis McGahee,BUF,RB,23.0,16.0,11.0,36.0,22.0,0.0,0.0,0.0,1128.0,13.0,284.0,169.0,0.0,225.7,0.0,4.0,2.0
Donald Driver,GNB,WR,29.0,16.0,11.0,137.0,84.0,0.0,0.0,0.0,4.0,0.0,3.0,1208.0,9.0,255.2,0.0,2.0,2.0
