Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att.1,Yds.1,Rec,Yds.2,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
Otis Armstrong,DEN,RB,24.0,14.0,14.0,0.0,0.0,0.0,0.0,263.0,1407.0,38.0,405.0,10.66,6.0,0.0,0.0,0.0,0.0,1407.0,9.0,263.0,405.0,3.0,279.2
Cliff Branch,OAK,WR,26.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1092.0,18.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1092.0,13.0,245.2
Chuck Foreman,MIN,RB,24.0,13.0,13.0,0.0,0.0,0.0,0.0,199.0,777.0,53.0,586.0,11.06,6.0,0.0,0.0,0.0,0.0,777.0,9.0,199.0,586.0,6.0,267.3
Don Woods,SDG,RB,23.0,12.0,9.0,1.0,3.0,28.0,1.0,227.0,1162.0,26.0,349.0,13.42,4.0,0.0,28.0,1.0,3.0,1162.0,7.0,227.0,349.0,3.0,232.22
Mack Herron,NWE,RB,26.0,14.0,14.0,0.0,0.0,0.0,0.0,231.0,824.0,38.0,474.0,12.47,12.0,0.0,0.0,0.0,0.0,824.0,7.0,231.0,474.0,5.0,215.8
Ken Anderson,CIN,QB,25.0,13.0,13.0,213.0,328.0,2667.0,10.0,43.0,314.0,0.0,0.0,0.0,3.0,0.0,2667.0,18.0,328.0,314.0,2.0,43.0,0.0,0.0,196.08
Lawrence McCutcheon,RAM,RB,24.0,14.0,14.0,0.0,0.0,0.0,0.0,236.0,1109.0,39.0,408.0,10.46,7.0,0.0,0.0,0.0,0.0,1109.0,3.0,236.0,408.0,2.0,206.7
Tom Sullivan,PHI,RB,24.0,14.0,14.0,0.0,0.0,0.0,0.0,244.0,760.0,39.0,312.0,8.0,6.0,0.0,0.0,0.0,0.0,760.0,11.0,244.0,312.0,1.0,206.2
Ken Stabler,OAK,QB,29.0,14.0,13.0,178.0,310.0,2469.0,12.0,12.0,-2.0,0.0,0.0,0.0,3.0,0.0,2469.0,26.0,310.0,-2.0,1.0,12.0,0.0,0.0,178.56
Lydell Mitchell,BAL,RB,25.0,14.0,14.0,0.0,0.0,0.0,0.0,214.0,757.0,72.0,544.0,7.56,6.0,0.0,0.0,0.0,0.0,757.0,5.0,214.0,544.0,2.0,232.1
Isaac Curtis,CIN,WR,24.0,14.0,14.0,0.0,0.0,0.0,0.0,8.0,62.0,30.0,633.0,21.1,1.0,0.0,0.0,0.0,0.0,62.0,0.0,8.0,633.0,10.0,157.5
Sam Cunningham,NWE,RB,24.0,10.0,10.0,0.0,0.0,0.0,0.0,166.0,811.0,22.0,214.0,9.73,2.0,0.0,0.0,0.0,0.0,811.0,9.0,166.0,214.0,2.0,186.5
Drew Pearson,DAL,WR,23.0,14.0,14.0,1.0,1.0,46.0,0.0,3.0,6.0,62.0,1087.0,17.53,1.0,0.0,46.0,1.0,1.0,6.0,0.0,3.0,1087.0,2.0,187.14
Jim Hart,STL,QB,30.0,14.0,14.0,200.0,388.0,2411.0,8.0,10.0,21.0,0.0,0.0,0.0,5.0,0.0,2411.0,20.0,388.0,21.0,2.0,10.0,0.0,0.0,164.54
Fran Tarkenton,MIN,QB,34.0,13.0,13.0,199.0,351.0,2598.0,12.0,21.0,120.0,0.0,0.0,0.0,2.0,0.0,2598.0,17.0,351.0,120.0,2.0,21.0,0.0,0.0,167.92000000000002
Rich Caster,NYJ,TE,26.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,745.0,19.61,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745.0,7.0,150.5
Roger Staubach,DAL,QB,32.0,14.0,14.0,190.0,360.0,2552.0,15.0,47.0,320.0,1.0,-13.0,-13.0,7.0,0.0,2552.0,11.0,360.0,320.0,3.0,47.0,-13.0,0.0,151.77999999999997
Franco Harris,PIT,RB,24.0,12.0,11.0,0.0,0.0,0.0,0.0,208.0,1006.0,23.0,200.0,8.7,9.0,0.0,0.0,0.0,0.0,1006.0,5.0,208.0,200.0,1.0,161.6
O.J. Simpson,BUF,RB,27.0,14.0,14.0,0.0,1.0,0.0,0.0,270.0,1125.0,15.0,189.0,12.6,7.0,0.0,0.0,0.0,1.0,1125.0,3.0,270.0,189.0,1.0,156.4
Mel Gray,STL,WR,26.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,770.0,19.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770.0,6.0,152.0
Harold Carmichael,PHI,WR,25.0,14.0,14.0,0.0,1.0,0.0,0.0,2.0,-6.0,56.0,649.0,11.59,1.0,0.0,0.0,0.0,1.0,-6.0,0.0,2.0,649.0,8.0,166.3
Jim Plunkett,NWE,QB,27.0,14.0,14.0,173.0,352.0,2457.0,22.0,30.0,161.0,0.0,0.0,0.0,4.0,0.0,2457.0,19.0,352.0,161.0,2.0,30.0,0.0,0.0,150.38
Terry Metcalf,STL,RB,23.0,14.0,13.0,0.0,2.0,0.0,0.0,152.0,718.0,50.0,377.0,7.54,14.0,0.0,0.0,0.0,2.0,718.0,6.0,152.0,377.0,1.0,173.5
Riley Odoms,DEN,TE,24.0,14.0,14.0,0.0,0.0,0.0,0.0,4.0,25.0,42.0,639.0,15.21,0.0,0.0,0.0,0.0,0.0,25.0,0.0,4.0,639.0,6.0,144.4
John Brockington,GNB,RB,26.0,14.0,14.0,0.0,0.0,0.0,0.0,266.0,883.0,43.0,314.0,7.3,6.0,0.0,0.0,0.0,0.0,883.0,5.0,266.0,314.0,0.0,180.7
Gary Garrison,SDG,WR,30.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,785.0,19.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,785.0,5.0,147.5
Charley Taylor,WAS,WR,33.0,14.0,14.0,0.0,0.0,0.0,0.0,1.0,-1.0,54.0,738.0,13.67,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,738.0,5.0,157.70000000000002
Ron Jessie,DET,WR,26.0,12.0,12.0,0.0,0.0,0.0,0.0,6.0,17.0,54.0,761.0,14.09,3.0,0.0,0.0,0.0,0.0,17.0,1.0,6.0,761.0,3.0,149.79999999999998
Fred Biletnikoff,OAK,WR,31.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,593.0,14.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593.0,7.0,143.3
Joe Namath,NYJ,QB,31.0,14.0,14.0,191.0,361.0,2616.0,22.0,8.0,1.0,0.0,0.0,0.0,6.0,0.0,2616.0,20.0,361.0,1.0,1.0,8.0,0.0,0.0,134.73999999999998
Calvin Hill,DAL,RB,27.0,12.0,12.0,0.0,0.0,0.0,0.0,185.0,844.0,12.0,134.0,11.17,5.0,0.0,0.0,0.0,0.0,844.0,7.0,185.0,134.0,0.0,141.8
Gene Washington,SFO,WR,27.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,4.0,29.0,615.0,21.21,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,615.0,6.0,126.9
Charle Young,PHI,TE,23.0,14.0,14.0,0.0,0.0,0.0,0.0,6.0,38.0,63.0,696.0,11.05,4.0,0.0,0.0,0.0,0.0,38.0,0.0,6.0,696.0,3.0,146.4
J.D. Hill,BUF,WR,26.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,572.0,17.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0,6.0,125.2
Larry Csonka,MIA,RB,28.0,12.0,11.0,0.0,0.0,0.0,0.0,197.0,749.0,7.0,35.0,5.0,2.0,0.0,0.0,0.0,0.0,749.0,9.0,197.0,35.0,0.0,135.4
John Gilliam,MIN,WR,29.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,16.0,26.0,578.0,22.23,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,578.0,5.0,115.4
Roy Jefferson,WAS,WR,31.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,654.0,15.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654.0,4.0,130.4
James Harris,RAM,QB,27.0,11.0,9.0,106.0,198.0,1544.0,6.0,42.0,112.0,0.0,0.0,0.0,7.0,0.0,1544.0,11.0,198.0,112.0,5.0,42.0,0.0,0.0,120.95999999999998
John Riggins,NYJ,RB,25.0,10.0,10.0,0.0,0.0,0.0,0.0,169.0,680.0,19.0,180.0,9.47,3.0,0.0,0.0,0.0,0.0,680.0,5.0,169.0,180.0,2.0,141.0
Larry Brown,WAS,RB,27.0,11.0,11.0,1.0,1.0,16.0,0.0,163.0,430.0,37.0,388.0,10.49,2.0,0.0,16.0,0.0,1.0,430.0,3.0,163.0,388.0,4.0,157.44
David Knight,NYJ,WR,23.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,579.0,14.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579.0,4.0,121.9
Harold Jackson,RAM,WR,28.0,14.0,14.0,0.0,0.0,0.0,0.0,1.0,4.0,30.0,514.0,17.13,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,514.0,5.0,111.8
Earl Thomas,STL,WR,26.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,513.0,15.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0,5.0,115.3
