Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att.1,Yds.1,Rec,Yds.2,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
Eric Dickerson,IND,RB,28.0,16.0,16.0,0.0,0.0,0.0,0.0,388.0,1659.0,36.0,377.0,10.47,5.0,0.0,0.0,0.0,0.0,1659.0,14.0,388.0,377.0,1.0,319.6
Randall Cunningham,PHI,QB,25.0,16.0,16.0,301.0,560.0,3808.0,16.0,93.0,624.0,0.0,0.0,0.0,12.0,0.0,3808.0,24.0,560.0,624.0,6.0,93.0,0.0,0.0,290.72
Roger Craig,SFO,RB,28.0,16.0,15.0,0.0,0.0,0.0,0.0,310.0,1502.0,76.0,534.0,7.03,8.0,0.0,0.0,0.0,0.0,1502.0,9.0,310.0,534.0,1.0,323.6
Herschel Walker,DAL,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,361.0,1514.0,53.0,505.0,9.53,6.0,0.0,0.0,0.0,0.0,1514.0,5.0,361.0,505.0,2.0,284.9
Greg Bell,RAM,RB,26.0,16.0,13.0,0.0,0.0,0.0,0.0,288.0,1212.0,24.0,124.0,5.17,6.0,0.0,0.0,0.0,0.0,1212.0,16.0,288.0,124.0,2.0,253.6
Henry Ellard,RAM,WR,27.0,16.0,15.0,0.0,0.0,0.0,0.0,1.0,7.0,86.0,1414.0,16.44,3.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1414.0,10.0,282.1
Jerry Rice,SFO,WR,26.0,16.0,16.0,1.0,3.0,14.0,1.0,13.0,107.0,64.0,1306.0,20.41,2.0,0.0,14.0,0.0,3.0,107.0,1.0,13.0,1306.0,9.0,259.86
Mark Clayton,MIA,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,4.0,86.0,1129.0,13.13,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1129.0,14.0,283.29999999999995
Neal Anderson,CHI,RB,24.0,16.0,16.0,0.0,1.0,0.0,0.0,249.0,1106.0,39.0,371.0,9.51,8.0,0.0,0.0,0.0,1.0,1106.0,12.0,249.0,371.0,0.0,242.7
Ricky Sanders,WAS,WR,28.0,16.0,4.0,0.0,0.0,0.0,0.0,2.0,14.0,73.0,1148.0,15.73,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,1148.0,12.0,261.2
Boomer Esiason,CIN,QB,27.0,16.0,16.0,223.0,388.0,3572.0,14.0,43.0,248.0,0.0,0.0,0.0,5.0,0.0,3572.0,28.0,388.0,248.0,1.0,43.0,0.0,0.0,247.68
Jim Everett,RAM,QB,25.0,16.0,16.0,308.0,517.0,3964.0,18.0,34.0,104.0,0.0,0.0,0.0,7.0,0.0,3964.0,31.0,517.0,104.0,0.0,34.0,0.0,0.0,242.96
Ickey Woods,CIN,RB,22.0,16.0,10.0,0.0,0.0,0.0,0.0,203.0,1066.0,21.0,199.0,9.48,8.0,0.0,0.0,0.0,0.0,1066.0,15.0,203.0,199.0,0.0,221.5
Eddie Brown,CIN,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,-5.0,53.0,1273.0,24.02,1.0,0.0,0.0,0.0,0.0,-5.0,0.0,1.0,1273.0,9.0,231.8
John Settle,ATL,RB,23.0,16.0,13.0,0.0,0.0,0.0,0.0,232.0,1024.0,68.0,570.0,8.38,3.0,0.0,0.0,0.0,0.0,1024.0,7.0,232.0,570.0,1.0,269.4
Keith Jackson,PHI,TE,23.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,869.0,10.73,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,869.0,6.0,197.9
James Brooks,CIN,RB,30.0,15.0,15.0,0.0,0.0,0.0,0.0,182.0,931.0,29.0,287.0,9.9,1.0,0.0,0.0,0.0,0.0,931.0,8.0,182.0,287.0,6.0,232.8
Drew Hill,HOU,WR,32.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,1141.0,15.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1141.0,10.0,246.1
Dan Marino,MIA,QB,27.0,16.0,16.0,354.0,606.0,4434.0,23.0,20.0,-17.0,0.0,0.0,0.0,10.0,0.0,4434.0,28.0,606.0,-17.0,0.0,20.0,0.0,0.0,221.66000000000005
John Williams,SEA,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,189.0,877.0,58.0,651.0,11.22,0.0,0.0,0.0,0.0,0.0,877.0,4.0,189.0,651.0,3.0,252.8
Mickey Shuler,NYJ,TE,32.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,805.0,11.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805.0,5.0,178.5
Anthony Carter,MIN,WR,28.0,16.0,16.0,0.0,0.0,0.0,0.0,4.0,41.0,72.0,1225.0,17.01,1.0,0.0,0.0,0.0,0.0,41.0,0.0,4.0,1225.0,6.0,232.6
Curt Warner,SEA,RB,27.0,16.0,16.0,0.0,0.0,0.0,0.0,266.0,1025.0,22.0,154.0,7.0,5.0,0.0,0.0,0.0,0.0,1025.0,10.0,266.0,154.0,2.0,201.9
Steve Jordan,MIN,TE,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,756.0,13.26,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756.0,5.0,158.6
Bruce Hill,TAM,WR,24.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,-11.0,58.0,1040.0,17.93,2.0,0.0,0.0,0.0,0.0,-11.0,0.0,2.0,1040.0,9.0,210.9
