Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Emmitt Smith,DAL,RB,25.0,15.0,15.0,61.0,50.0,0.0,0.0,0.0,1484.0,21.0,368.0,341.0,1.0,364.5,0.0,1.0,0.0
Steve Young,SFO,QB,33.0,16.0,16.0,0.0,0.0,3969.0,35.0,461.0,293.0,7.0,58.0,0.0,0.0,344.06,10.0,4.0,3.0
Jerry Rice,SFO,WR,32.0,16.0,16.0,151.0,112.0,0.0,0.0,0.0,93.0,2.0,7.0,1499.0,13.0,359.2,0.0,1.0,1.0
Barry Sanders,DET,RB,26.0,16.0,16.0,65.0,44.0,0.0,0.0,0.0,1883.0,7.0,331.0,283.0,1.0,308.6,0.0,0.0,0.0
Chris Warren,SEA,RB,26.0,16.0,15.0,61.0,41.0,0.0,0.0,0.0,1545.0,9.0,333.0,323.0,2.0,285.8,0.0,5.0,4.0
Marshall Faulk,IND,RB,21.0,16.0,16.0,74.0,52.0,0.0,0.0,0.0,1282.0,11.0,314.0,522.0,1.0,294.4,0.0,5.0,5.0
Brett Favre,GNB,QB,25.0,16.0,16.0,0.0,0.0,3882.0,33.0,582.0,202.0,2.0,42.0,0.0,0.0,281.48,14.0,7.0,5.0
Sterling Sharpe,GNB,WR,29.0,16.0,16.0,159.0,94.0,0.0,0.0,0.0,15.0,0.0,3.0,1119.0,18.0,315.4,0.0,1.0,0.0
Ben Coates,NWE,TE,25.0,16.0,16.0,148.0,96.0,0.0,0.0,0.0,0.0,0.0,1.0,1174.0,7.0,253.4,0.0,2.0,1.0
Natrone Means,SDG,RB,22.0,16.0,16.0,43.0,39.0,0.0,0.0,1.0,1350.0,12.0,343.0,235.0,0.0,261.5,0.0,5.0,4.0
Ricky Watters,SFO,RB,25.0,16.0,16.0,88.0,66.0,0.0,0.0,0.0,877.0,6.0,239.0,719.0,5.0,285.6,0.0,8.0,3.0
Dan Marino,MIA,QB,33.0,16.0,16.0,0.0,0.0,4453.0,30.0,615.0,-6.0,1.0,22.0,0.0,0.0,259.52,17.0,9.0,5.0
Terance Mathis,ATL,WR,27.0,16.0,16.0,151.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,1342.0,11.0,311.2,0.0,0.0,0.0
Andre Reed,BUF,WR,30.0,16.0,16.0,143.0,90.0,32.0,0.0,1.0,87.0,0.0,10.0,1303.0,8.0,274.28000000000003,0.0,3.0,2.0
Shannon Sharpe,DEN,TE,26.0,15.0,13.0,140.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.0,4.0,210.0,0.0,1.0,1.0
Tim Brown,RAI,WR,28.0,16.0,16.0,142.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,1309.0,9.0,267.9,0.0,3.0,3.0
Thurman Thomas,BUF,RB,28.0,15.0,15.0,71.0,50.0,0.0,0.0,0.0,1093.0,7.0,287.0,349.0,2.0,246.2,0.0,1.0,1.0
Herman Moore,DET,WR,25.0,16.0,16.0,132.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,1173.0,11.0,251.3,0.0,1.0,2.0
Brent Jones,SFO,TE,31.0,15.0,15.0,72.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,9.0,168.0,0.0,1.0,1.0
Carl Pickens,CIN,WR,24.0,15.0,15.0,132.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1127.0,11.0,249.7,0.0,1.0,0.0
Henry Ellard,WAS,WR,33.0,16.0,16.0,150.0,74.0,0.0,0.0,0.0,-5.0,0.0,1.0,1397.0,6.0,247.2,0.0,1.0,1.0
Irving Fryar,MIA,WR,32.0,16.0,16.0,126.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1270.0,7.0,242.0,0.0,0.0,0.0
Leroy Hoard,CLE,RB,26.0,16.0,12.0,68.0,45.0,0.0,0.0,0.0,890.0,5.0,209.0,445.0,4.0,222.5,0.0,8.0,5.0
Cris Carter,MIN,WR,29.0,16.0,16.0,188.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.0,7.0,289.6,0.0,4.0,0.0
Keith Jackson,MIA,TE,29.0,16.0,16.0,95.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,673.0,7.0,166.3,0.0,2.0,1.0
John Elway,DEN,QB,34.0,14.0,14.0,1.0,0.0,3490.0,16.0,494.0,235.0,4.0,58.0,0.0,0.0,217.1,10.0,11.0,7.0
Harvey Williams,RAI,RB,27.0,16.0,10.0,64.0,47.0,0.0,0.0,0.0,983.0,4.0,282.0,391.0,3.0,222.4,0.0,4.0,2.0
Drew Bledsoe,NWE,QB,22.0,16.0,16.0,0.0,0.0,4555.0,25.0,691.0,40.0,0.0,44.0,0.0,0.0,222.2,27.0,9.0,5.0
Michael Irvin,DAL,WR,28.0,16.0,16.0,121.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,1241.0,6.0,239.1,0.0,0.0,0.0
Andre Rison,ATL,WR,27.0,15.0,14.0,154.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,1088.0,8.0,237.8,0.0,1.0,0.0
Johnny Mitchell,NYJ,TE,23.0,16.0,14.0,111.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,749.0,4.0,156.9,0.0,1.0,0.0
Edgar Bennett,GNB,RB,25.0,16.0,15.0,97.0,78.0,0.0,0.0,0.0,623.0,5.0,178.0,546.0,4.0,248.9,0.0,1.0,0.0
Terry Allen,MIN,RB,26.0,16.0,16.0,30.0,17.0,0.0,0.0,0.0,1031.0,8.0,255.0,148.0,0.0,180.9,0.0,3.0,1.0
Warren Moon,MIN,QB,38.0,15.0,15.0,0.0,0.0,4264.0,18.0,601.0,55.0,0.0,27.0,0.0,0.0,206.06,19.0,9.0,2.0
Jeff George,ATL,QB,27.0,16.0,16.0,0.0,0.0,3734.0,23.0,524.0,66.0,0.0,30.0,0.0,0.0,203.96,18.0,12.0,4.0
Randall Cunningham,PHI,QB,31.0,14.0,14.0,0.0,0.0,3229.0,16.0,490.0,288.0,3.0,65.0,0.0,0.0,207.96,13.0,10.0,3.0
Jim Everett,NOR,QB,31.0,16.0,16.0,0.0,0.0,3855.0,22.0,540.0,35.0,0.0,15.0,0.0,0.0,205.7,18.0,3.0,2.0
Jerome Bettis,RAM,RB,22.0,16.0,16.0,45.0,31.0,0.0,0.0,0.0,1025.0,3.0,319.0,293.0,1.0,180.8,0.0,5.0,3.0
Craig Heyward,ATL,RB,28.0,16.0,11.0,40.0,32.0,0.0,0.0,0.0,779.0,7.0,183.0,335.0,1.0,181.4,0.0,5.0,5.0
Eric Green,PIT,TE,27.0,15.0,14.0,80.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0,4.0,127.8,0.0,2.0,2.0
Anthony Miller,DEN,WR,29.0,16.0,15.0,118.0,60.0,0.0,0.0,0.0,3.0,0.0,1.0,1107.0,5.0,201.0,0.0,0.0,0.0
Fred Barnett,PHI,WR,28.0,16.0,16.0,148.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,1127.0,5.0,218.7,0.0,1.0,1.0
Errict Rhett,TAM,RB,24.0,16.0,8.0,30.0,22.0,0.0,0.0,0.0,1011.0,7.0,284.0,119.0,0.0,173.0,0.0,2.0,2.0
Jake Reed,MIN,WR,27.0,16.0,16.0,161.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,1175.0,4.0,220.5,0.0,3.0,3.0
Rodney Hampton,NYG,RB,25.0,14.0,13.0,20.0,14.0,0.0,0.0,0.0,1075.0,6.0,327.0,103.0,0.0,167.8,0.0,0.0,0.0
Jeff Hostetler,RAI,QB,33.0,16.0,16.0,0.0,0.0,3334.0,20.0,455.0,159.0,2.0,46.0,0.0,0.0,199.26,16.0,10.0,5.0
Bernie Parmalee,MIA,RB,27.0,15.0,10.0,50.0,34.0,0.0,0.0,0.0,868.0,6.0,216.0,249.0,1.0,181.7,0.0,5.0,3.0
Rob Moore,NYJ,WR,26.0,16.0,16.0,159.0,78.0,0.0,0.0,0.0,-3.0,0.0,1.0,1010.0,6.0,214.7,0.0,0.0,0.0
Lewis Tillman,CHI,RB,28.0,16.0,15.0,39.0,27.0,0.0,0.0,0.0,899.0,7.0,275.0,222.0,0.0,179.10000000000005,0.0,1.0,1.0
Johnny Johnson,NYJ,RB,26.0,16.0,14.0,57.0,42.0,0.0,0.0,0.0,931.0,3.0,240.0,303.0,2.0,189.4,0.0,4.0,3.0
Brian Blades,SEA,WR,29.0,16.0,16.0,138.0,81.0,0.0,0.0,0.0,32.0,0.0,2.0,1086.0,4.0,216.8,0.0,1.0,0.0
Marcus Allen,KAN,RB,34.0,13.0,13.0,60.0,42.0,0.0,0.0,0.0,709.0,7.0,189.0,349.0,0.0,185.8,0.0,3.0,2.0
Michael Haynes,NOR,WR,29.0,16.0,16.0,136.0,77.0,0.0,0.0,0.0,43.0,0.0,4.0,985.0,5.0,207.8,0.0,1.0,1.0
Bam Morris,PIT,RB,22.0,15.0,6.0,25.0,22.0,0.0,0.0,0.0,836.0,7.0,198.0,204.0,0.0,164.0,0.0,3.0,2.0
Pete Metzelaars,BUF,TE,34.0,16.0,16.0,68.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,5.0,121.8,0.0,0.0,0.0
Alvin Harper,DAL,WR,26.0,16.0,14.0,79.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,821.0,8.0,159.1,0.0,2.0,2.0
Herschel Walker,PHI,RB,32.0,16.0,14.0,81.0,50.0,0.0,0.0,0.0,528.0,5.0,113.0,500.0,2.0,190.8,0.0,4.0,2.0
Darnay Scott,CIN,WR,22.0,16.0,12.0,106.0,46.0,53.0,0.0,1.0,106.0,0.0,10.0,866.0,5.0,175.32,0.0,0.0,0.0
Tony Martin,SDG,WR,29.0,16.0,1.0,90.0,50.0,0.0,0.0,1.0,-9.0,0.0,2.0,885.0,7.0,175.6,1.0,2.0,1.0
Flipper Anderson,RAM,WR,29.0,16.0,16.0,101.0,46.0,0.0,0.0,0.0,11.0,0.0,1.0,945.0,5.0,171.6,0.0,0.0,0.0
Larry Centers,ARI,RB,26.0,16.0,5.0,96.0,77.0,0.0,0.0,0.0,336.0,5.0,115.0,647.0,2.0,215.3,0.0,2.0,1.0
Wesley Walls,NOR,TE,28.0,15.0,7.0,69.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,406.0,4.0,102.6,0.0,0.0,0.0
Jim Kelly,BUF,QB,34.0,14.0,14.0,0.0,0.0,3114.0,22.0,448.0,77.0,1.0,25.0,0.0,0.0,178.26,17.0,11.0,7.0
Leonard Russell,DEN,RB,25.0,14.0,13.0,46.0,38.0,0.0,0.0,0.0,620.0,9.0,190.0,227.0,0.0,172.7,0.0,4.0,2.0
