Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Terrell Davis,DEN,RB,26.0,16.0,16.0,38.0,25.0,0.0,0.0,0.0,2008.0,21.0,392.0,217.0,2.0,381.5,0.0,2.0,2.0
Jamal Anderson,ATL,RB,26.0,16.0,16.0,46.0,27.0,0.0,0.0,2.0,1846.0,14.0,410.0,319.0,2.0,335.5,0.0,5.0,2.0
Steve Young,SFO,QB,37.0,15.0,15.0,0.0,0.0,4170.0,36.0,517.0,454.0,6.0,70.0,0.0,0.0,356.2,12.0,9.0,6.0
Marshall Faulk,IND,RB,25.0,16.0,15.0,106.0,86.0,0.0,0.0,0.0,1319.0,6.0,324.0,908.0,4.0,364.70000000000016,0.0,3.0,2.0
Garrison Hearst,SFO,RB,27.0,16.0,16.0,56.0,39.0,0.0,0.0,0.0,1570.0,7.0,310.0,535.0,2.0,297.5,0.0,4.0,3.0
Fred Taylor,JAX,RB,22.0,15.0,12.0,53.0,44.0,0.0,0.0,0.0,1223.0,14.0,264.0,421.0,3.0,306.4,0.0,3.0,2.0
Randy Moss,MIN,WR,21.0,16.0,11.0,124.0,69.0,0.0,0.0,0.0,4.0,0.0,1.0,1313.0,17.0,302.7,0.0,2.0,0.0
Emmitt Smith,DAL,RB,29.0,16.0,16.0,32.0,27.0,0.0,0.0,0.0,1332.0,13.0,319.0,175.0,2.0,263.7,0.0,3.0,2.0
Antonio Freeman,GNB,WR,26.0,15.0,15.0,153.0,84.0,0.0,0.0,0.0,5.0,0.0,3.0,1424.0,14.0,310.9,0.0,0.0,0.0
Ricky Watters,SEA,RB,29.0,16.0,16.0,73.0,52.0,1.0,1.0,1.0,1239.0,9.0,319.0,373.0,0.0,267.24,0.0,4.0,2.0
Randall Cunningham,MIN,QB,35.0,15.0,14.0,1.0,1.0,3704.0,34.0,425.0,132.0,1.0,32.0,-3.0,0.0,282.05999999999995,10.0,2.0,1.0
Curtis Martin,NYJ,RB,25.0,15.0,15.0,57.0,43.0,0.0,0.0,0.0,1287.0,8.0,369.0,365.0,1.0,260.2,0.0,5.0,1.0
Robert Edwards,NWE,RB,24.0,16.0,15.0,52.0,35.0,0.0,0.0,0.0,1115.0,9.0,291.0,331.0,3.0,249.6,0.0,5.0,1.0
Terrell Owens,SFO,WR,25.0,16.0,10.0,104.0,67.0,0.0,0.0,0.0,53.0,1.0,4.0,1097.0,14.0,270.0,0.0,1.0,1.0
Barry Sanders,DET,RB,30.0,16.0,16.0,57.0,37.0,0.0,0.0,0.0,1491.0,4.0,343.0,289.0,0.0,235.0,0.0,3.0,2.0
Eddie George,TEN,RB,25.0,16.0,16.0,49.0,37.0,0.0,0.0,0.0,1294.0,5.0,348.0,310.0,1.0,231.4,0.0,7.0,1.0
Brett Favre,GNB,QB,29.0,16.0,16.0,0.0,0.0,4212.0,31.0,551.0,133.0,1.0,40.0,0.0,0.0,261.78000000000003,23.0,8.0,2.0
Shannon Sharpe,DEN,TE,30.0,16.0,16.0,107.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,768.0,10.0,200.8,0.0,0.0,0.0
