Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
David Johnson,ARI,RB,25.0,16.0,16.0,120.0,80.0,0.0,0.0,0.0,1239.0,16.0,293.0,879.0,4.0,405.8,0.0,5.0,3.0
Ezekiel Elliott,DAL,RB,21.0,15.0,15.0,39.0,32.0,0.0,0.0,0.0,1631.0,15.0,322.0,363.0,1.0,325.4,0.0,5.0,1.0
LeSean McCoy,BUF,RB,28.0,15.0,15.0,57.0,50.0,0.0,0.0,0.0,1267.0,13.0,234.0,356.0,1.0,296.3,0.0,3.0,0.0
Aaron Rodgers,GNB,QB,33.0,16.0,16.0,0.0,0.0,4428.0,40.0,610.0,369.0,4.0,67.0,0.0,0.0,376.02,7.0,8.0,4.0
DeMarco Murray,TEN,RB,28.0,16.0,16.0,67.0,53.0,10.0,1.0,2.0,1287.0,9.0,293.0,377.0,3.0,293.7999999999999,0.0,3.0,1.0
Le'Veon Bell,PIT,RB,24.0,12.0,12.0,94.0,75.0,0.0,0.0,1.0,1268.0,7.0,261.0,616.0,2.0,315.4,0.0,4.0,1.0
Devonta Freeman,ATL,RB,24.0,16.0,16.0,65.0,54.0,0.0,0.0,0.0,1079.0,11.0,227.0,462.0,2.0,284.1,0.0,1.0,1.0
LeGarrette Blount,NWE,RB,30.0,16.0,8.0,8.0,7.0,0.0,0.0,0.0,1161.0,18.0,299.0,38.0,0.0,232.9,0.0,2.0,1.0
Matt Ryan,ATL,QB,31.0,16.0,16.0,0.0,0.0,4944.0,38.0,534.0,117.0,0.0,35.0,0.0,0.0,343.46,7.0,4.0,2.0
Mike Evans,TAM,WR,23.0,16.0,16.0,173.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,1321.0,12.0,300.1,0.0,0.0,0.0
Jordy Nelson,GNB,WR,31.0,16.0,16.0,152.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,1257.0,14.0,304.7,0.0,1.0,1.0
Antonio Brown,PIT,WR,28.0,15.0,15.0,154.0,106.0,0.0,0.0,0.0,9.0,0.0,3.0,1284.0,12.0,307.2999999999999,0.0,0.0,0.0
Melvin Gordon,SDG,RB,23.0,13.0,11.0,57.0,41.0,0.0,0.0,0.0,997.0,10.0,254.0,419.0,2.0,250.6,0.0,2.0,2.0
Jordan Howard,CHI,RB,22.0,15.0,13.0,50.0,29.0,0.0,0.0,0.0,1313.0,6.0,252.0,298.0,1.0,230.1,0.0,2.0,1.0
Odell Beckham,NYG,WR,24.0,16.0,16.0,169.0,101.0,0.0,0.0,0.0,9.0,0.0,1.0,1367.0,10.0,296.6,0.0,3.0,1.0
Drew Brees,NOR,QB,37.0,16.0,16.0,0.0,0.0,5208.0,37.0,673.0,20.0,2.0,23.0,0.0,0.0,332.32,15.0,5.0,4.0
